scope,category,descriptor,queries,mean,median,p90,p95,p99,min,max
all,Robust,d1,1103,45157.33726201269,47126.0,68997.6,74622.19999999998,85426.30000000002,2307.0,125740.0
all,Model-specific,d1,1953,39416.354326676905,40604.0,62050.4,67446.59999999999,77412.44,953.0,108215.0
all,Usually harmful,d1,4503,36625.20430823895,36790.0,58134.8,64156.29999999999,75425.19999999998,957.0,100912.0
all,Universally harmful,d1,2441,35365.70421958214,35531.0,57926.0,63059.0,75388.4,433.0,95624.0
all,subset-persistent,d1,5676,35900.832100070475,36081.5,57595.0,63136.0,74942.25,433.0,95624.0
all,not-subset-persistent,d1,4324,40302.15980573543,41142.0,63540.3,69348.9,79190.79,953.0,125740.0
all,Robust,dk,1103,60604.970081595646,60979.0,83523.40000000001,90122.99999999997,101730.20000000001,8158.0,141757.0
all,Model-specific,dk,1953,53316.11315924219,54234.0,75358.2,81243.4,90464.52000000002,3743.0,116590.0
all,Usually harmful,dk,4503,49459.44570286476,50005.0,71402.0,76885.49999999996,87392.97999999998,2222.0,119008.0
all,Universally harmful,dk,2441,46710.01147070873,47136.0,70172.0,76480.0,90266.79999999996,980.0,109099.0
all,subset-persistent,dk,5676,47916.12156448203,48538.5,69986.0,75919.5,87925.75,980.0,116937.0
all,not-subset-persistent,dk,4324,54518.21623496762,55232.0,77311.4,83631.04999999996,94310.3799999999,3743.0,141757.0
all,Robust,dk_plus_1,1103,61559.976427923844,61978.0,84717.40000000001,91330.49999999996,102032.38,9047.0,142046.0
all,Model-specific,dk_plus_1,1953,53950.813108038914,54948.0,76087.2,81715.2,91037.08000000003,4036.0,118017.0
all,Usually harmful,dk_plus_1,4503,49876.3017988008,50403.0,71892.6,77422.69999999998,88122.84,2234.0,119842.0
all,Universally harmful,dk_plus_1,2441,46976.84842277755,47352.0,70610.0,76806.0,90563.99999999997,1012.0,109327.0
all,subset-persistent,dk_plus_1,5676,48252.37561663143,48946.5,70544.5,76490.25,88593.5,1012.0,117101.0
all,not-subset-persistent,dk_plus_1,4324,55191.855226642,55953.5,77976.4,84601.14999999994,95883.37999999996,4036.0,142046.0
all,Robust,d20,1103,65075.61196736174,65179.0,88673.40000000001,94981.0,107340.66000000002,10935.0,147223.0
all,Model-specific,d20,1953,57294.601638504864,58235.0,79959.59999999999,86401.0,96340.08,4332.0,122360.0
all,Usually harmful,d20,4503,52948.56939817899,53610.0,75821.40000000001,81280.4,92955.45999999999,2661.0,123586.0
all,Universally harmful,d20,2441,49614.66038508808,49959.0,74100.0,80866.0,94583.59999999993,1214.0,113408.0
all,subset-persistent,d20,5676,51091.60412262157,51916.5,74236.5,80189.5,93595.25,1214.0,120687.0
all,not-subset-persistent,d20,4324,58560.500925069384,59395.0,82113.90000000001,88760.34999999999,100842.81999999996,4332.0,147223.0
all,Robust,boundary_margin,1103,955.0063463281958,591.0,2353.4,3002.0999999999976,4477.220000000001,0.0,6627.0
all,Model-specific,boundary_margin,1953,634.699948796723,477.0,1432.0,1731.1999999999996,2495.6400000000003,0.0,3689.0
all,Usually harmful,boundary_margin,4503,416.85609593604266,308.0,938.0,1193.7999999999993,1692.0,0.0,2856.0
all,Universally harmful,boundary_margin,2441,266.83695206882425,182.0,628.0,828.0,1244.7999999999993,0.0,1990.0
all,subset-persistent,boundary_margin,5676,336.254052149401,234.5,783.5,996.0,1515.75,0.0,2608.0
all,not-subset-persistent,boundary_margin,4324,673.6389916743756,460.0,1544.5000000000014,2034.0,3322.33999999998,0.0,6627.0
all,Robust,relative_boundary_margin,1103,0.019187119712640418,0.009963020141456934,0.04920446482467349,0.06549549450045203,0.11706530877519648,0.0,0.24173529752928893
all,Model-specific,relative_boundary_margin,1953,0.013484406292283313,0.009535840278526643,0.03140856627216139,0.03977607463313199,0.05768707269003082,0.0,0.08266849572217609
all,Usually harmful,relative_boundary_margin,4503,0.009163416282993844,0.006807339449541284,0.020489193037780115,0.025875322227866763,0.03887517356921417,0.0,0.11423882857864176
all,Universally harmful,relative_boundary_margin,2441,0.006258876634274657,0.004396141164977409,0.014765195650635658,0.01850997045790251,0.029198781504337773,0.0,0.07607361963190185
all,subset-persistent,relative_boundary_margin,5676,0.0075964505108705215,0.005381826013756729,0.017475900348811243,0.02195321352764149,0.03332293034428274,0.0,0.09327456277548699
all,not-subset-persistent,relative_boundary_margin,4324,0.014089215267982503,0.009095333717596708,0.0328242028682175,0.04487579755223251,0.07231193902195004,0.0,0.24173529752928893
all,Robust,boundary_gap_r1,1103,955.0063463281958,591.0,2353.4,3002.0999999999976,4477.220000000001,0.0,6627.0
all,Model-specific,boundary_gap_r1,1953,634.699948796723,477.0,1432.0,1731.1999999999996,2495.6400000000003,0.0,3689.0
all,Usually harmful,boundary_gap_r1,4503,416.85609593604266,308.0,938.0,1193.7999999999993,1692.0,0.0,2856.0
