scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,d1,harmful_frequency_all,0,1000,8494.225,0.7422222222222223
all,d1,harmful_frequency_all,1,1000,17747.16,0.7298888888888889
all,d1,harmful_frequency_all,2,999,24735.436436436437,0.7543098654209767
all,d1,harmful_frequency_all,3,1001,30620.504495504494,0.750915750915751
all,d1,harmful_frequency_all,4,1000,35600.709,0.7492222222222221
all,d1,harmful_frequency_all,5,1000,40385.628,0.730888888888889
all,d1,harmful_frequency_all,6,1000,45292.683,0.6995555555555556
all,d1,harmful_frequency_all,7,1000,50283.349,0.6908888888888889
all,d1,harmful_frequency_all,8,1000,56566.825,0.6268888888888889
all,d1,harmful_frequency_all,9,1000,68307.257,0.5804444444444443
all,d1,harmful_subset_frequency,0,1000,8494.225,0.7803333333333332
all,d1,harmful_subset_frequency,1,1000,17747.16,0.77
all,d1,harmful_subset_frequency,2,999,24735.436436436437,0.7967967967967968
all,d1,harmful_subset_frequency,3,1001,30620.504495504494,0.8001998001998002
all,d1,harmful_subset_frequency,4,1000,35600.709,0.7876666666666666
all,d1,harmful_subset_frequency,5,1000,40385.628,0.7763333333333332
all,d1,harmful_subset_frequency,6,1000,45292.683,0.7406666666666666
all,d1,harmful_subset_frequency,7,1000,50283.349,0.7263333333333333
all,d1,harmful_subset_frequency,8,1000,56566.825,0.6476666666666667
all,d1,harmful_subset_frequency,9,1000,68307.257,0.5883333333333334
all,d1,overall_mean_loss,0,1000,8494.225,0.10825555555555556
all,d1,overall_mean_loss,1,1000,17747.16,0.1035
all,d1,overall_mean_loss,2,999,24735.436436436437,0.10833055277499723
all,d1,overall_mean_loss,3,1001,30620.504495504494,0.1053835053835054
all,d1,overall_mean_loss,4,1000,35600.709,0.10774444444444445
all,d1,overall_mean_loss,5,1000,40385.628,0.10388888888888889
all,d1,overall_mean_loss,6,1000,45292.683,0.10114444444444444
all,d1,overall_mean_loss,7,1000,50283.349,0.09730000000000001
all,d1,overall_mean_loss,8,1000,56566.825,0.08833333333333335
all,d1,overall_mean_loss,9,1000,68307.257,0.08044444444444446
all,d1,between_subset_variability,0,1000,8494.225,0.0010046913580246915
all,d1,between_subset_variability,1,1000,17747.16,0.000997283950617284
all,d1,between_subset_variability,2,999,24735.436436436437,0.0010526575958674726
all,d1,between_subset_variability,3,1001,30620.504495504494,0.001058941058941059
all,d1,between_subset_variability,4,1000,35600.709,0.001032098765432099
all,d1,between_subset_variability,5,1000,40385.628,0.0010441975308641976
all,d1,between_subset_variability,6,1000,45292.683,0.0010528395061728398
all,d1,between_subset_variability,7,1000,50283.349,0.001048395061728395
all,d1,between_subset_variability,8,1000,56566.825,0.0009886419753086422
all,d1,between_subset_variability,9,1000,68307.257,0.0008980246913580247
all,d1,within_subset_variability,0,1000,8494.225,0.002734074074074074
all,d1,within_subset_variability,1,1000,17747.16,0.00272
all,d1,within_subset_variability,2,999,24735.436436436437,0.002751640529418307
all,d1,within_subset_variability,3,1001,30620.504495504494,0.0027742627742627745
all,d1,within_subset_variability,4,1000,35600.709,0.002711851851851852
all,d1,within_subset_variability,5,1000,40385.628,0.002860740740740741
all,d1,within_subset_variability,6,1000,45292.683,0.002876296296296297
all,d1,within_subset_variability,7,1000,50283.349,0.0028533333333333336
all,d1,within_subset_variability,8,1000,56566.825,0.0025200000000000005
all,d1,within_subset_variability,9,1000,68307.257,0.002443703703703704
all,dk,harmful_frequency_all,0,1000,18387.039,0.8072222222222222
all,dk,harmful_frequency_all,1,1000,31203.087,0.7591111111111111
all,dk,harmful_frequency_all,2,1000,38322.118,0.7557777777777779
all,dk,harmful_frequency_all,3,1000,43859.896,0.7406666666666667
all,dk,harmful_frequency_all,4,1000,48983.068,0.7308888888888889
all,dk,harmful_frequency_all,5,1000,53667.632,0.7044444444444445
all,dk,harmful_frequency_all,6,1000,58205.979,0.685
all,dk,harmful_frequency_all,7,1000,63299.961,0.6603333333333333
all,dk,harmful_frequency_all,8,1000,69703.376,0.643888888888889
all,dk,harmful_frequency_all,9,1000,82076.517,0.5678888888888889
all,dk,harmful_subset_frequency,0,1000,18387.039,0.8513333333333333
all,dk,harmful_subset_frequency,1,1000,31203.087,0.802
all,dk,harmful_subset_frequency,2,1000,38322.118,0.7983333333333332
all,dk,harmful_subset_frequency,3,1000,43859.896,0.7846666666666666
all,dk,harmful_subset_frequency,4,1000,48983.068,0.7756666666666665
all,dk,harmful_subset_frequency,5,1000,53667.632,0.7426666666666666
all,dk,harmful_subset_frequency,6,1000,58205.979,0.7233333333333334
all,dk,harmful_subset_frequency,7,1000,63299.961,0.6966666666666668
all,dk,harmful_subset_frequency,8,1000,69703.376,0.6703333333333333
all,dk,harmful_subset_frequency,9,1000,82076.517,0.5693333333333332
all,dk,overall_mean_loss,0,1000,18387.039,0.12483333333333334
all,dk,overall_mean_loss,1,1000,31203.087,0.11020000000000002
all,dk,overall_mean_loss,2,1000,38322.118,0.10761111111111113
all,dk,overall_mean_loss,3,1000,43859.896,0.1048111111111111
all,dk,overall_mean_loss,4,1000,48983.068,0.1039888888888889
all,dk,overall_mean_loss,5,1000,53667.632,0.10066666666666668
all,dk,overall_mean_loss,6,1000,58205.979,0.09444444444444446
all,dk,overall_mean_loss,7,1000,63299.961,0.09226666666666666
all,dk,overall_mean_loss,8,1000,69703.376,0.08905555555555555
all,dk,overall_mean_loss,9,1000,82076.517,0.07644444444444445
all,dk,between_subset_variability,0,1000,18387.039,0.001148888888888889
all,dk,between_subset_variability,1,1000,31203.087,0.0010306172839506173
all,dk,between_subset_variability,2,1000,38322.118,0.0010953086419753085
all,dk,between_subset_variability,3,1000,43859.896,0.0010256790123456792
all,dk,between_subset_variability,4,1000,48983.068,0.000994074074074074
all,dk,between_subset_variability,5,1000,53667.632,0.0010172839506172842
all,dk,between_subset_variability,6,1000,58205.979,0.0010651851851851853
all,dk,between_subset_variability,7,1000,63299.961,0.001020740740740741
all,dk,between_subset_variability,8,1000,69703.376,0.0009360493827160494
all,dk,between_subset_variability,9,1000,82076.517,0.0008439506172839508
all,dk,within_subset_variability,0,1000,18387.039,0.0030940740740740746
all,dk,within_subset_variability,1,1000,31203.087,0.0028118518518518527
all,dk,within_subset_variability,2,1000,38322.118,0.0027400000000000002
all,dk,within_subset_variability,3,1000,43859.896,0.0027814814814814816
all,dk,within_subset_variability,4,1000,48983.068,0.0027822222222222224
all,dk,within_subset_variability,5,1000,53667.632,0.002854814814814815
all,dk,within_subset_variability,6,1000,58205.979,0.0026622222222222225
all,dk,within_subset_variability,7,1000,63299.961,0.0026659259259259258
all,dk,within_subset_variability,8,1000,69703.376,0.00260962962962963
all,dk,within_subset_variability,9,1000,82076.517,0.0022437037037037044
all,dk_plus_1,harmful_frequency_all,0,1000,18663.426,0.812
all,dk_plus_1,harmful_frequency_all,1,1000,31622.377,0.7624444444444445
all,dk_plus_1,harmful_frequency_all,2,1000,38749.061,0.7567777777777779
all,dk_plus_1,harmful_frequency_all,3,1000,44313.178,0.7406666666666666
all,dk_plus_1,harmful_frequency_all,4,1000,49454.723,0.738
all,dk_plus_1,harmful_frequency_all,5,1000,54164.113,0.7005555555555557
all,dk_plus_1,harmful_frequency_all,6,1000,58715.017,0.681
all,dk_plus_1,harmful_frequency_all,7,1000,63847.908,0.6577777777777777
all,dk_plus_1,harmful_frequency_all,8,999,70285.67367367368,0.6433099766433099
all,dk_plus_1,harmful_frequency_all,9,1001,82702.17282717282,0.5627705627705627
all,dk_plus_1,harmful_subset_frequency,0,1000,18663.426,0.8563333333333333
all,dk_plus_1,harmful_subset_frequency,1,1000,31622.377,0.806
all,dk_plus_1,harmful_subset_frequency,2,1000,38749.061,0.802
all,dk_plus_1,harmful_subset_frequency,3,1000,44313.178,0.781
all,dk_plus_1,harmful_subset_frequency,4,1000,49454.723,0.7853333333333332
all,dk_plus_1,harmful_subset_frequency,5,1000,54164.113,0.7396666666666666
all,dk_plus_1,harmful_subset_frequency,6,1000,58715.017,0.716
all,dk_plus_1,harmful_subset_frequency,7,1000,63847.908,0.6956666666666667
all,dk_plus_1,harmful_subset_frequency,8,999,70285.67367367368,0.667334000667334
all,dk_plus_1,harmful_subset_frequency,9,1001,82702.17282717282,0.5651015651015652
all,dk_plus_1,overall_mean_loss,0,1000,18663.426,0.12563333333333335
all,dk_plus_1,overall_mean_loss,1,1000,31622.377,0.11086666666666667
all,dk_plus_1,overall_mean_loss,2,1000,38749.061,0.1078777777777778
all,dk_plus_1,overall_mean_loss,3,1000,44313.178,0.10535555555555556
all,dk_plus_1,overall_mean_loss,4,1000,49454.723,0.1047
all,dk_plus_1,overall_mean_loss,5,1000,54164.113,0.09948888888888889
all,dk_plus_1,overall_mean_loss,6,1000,58715.017,0.09402222222222224
all,dk_plus_1,overall_mean_loss,7,1000,63847.908,0.09185555555555555
all,dk_plus_1,overall_mean_loss,8,999,70285.67367367368,0.08931153375597821
all,dk_plus_1,overall_mean_loss,9,1001,82702.17282717282,0.07522477522477523
all,dk_plus_1,between_subset_variability,0,1000,18663.426,0.0011550617283950617
all,dk_plus_1,between_subset_variability,1,1000,31622.377,0.0010291358024691359
all,dk_plus_1,between_subset_variability,2,1000,38749.061,0.0011029629629629631
all,dk_plus_1,between_subset_variability,3,1000,44313.178,0.0010276543209876542
all,dk_plus_1,between_subset_variability,4,1000,49454.723,0.0010019753086419755
all,dk_plus_1,between_subset_variability,5,1000,54164.113,0.0010051851851851853
all,dk_plus_1,between_subset_variability,6,1000,58715.017,0.0010703703703703704
all,dk_plus_1,between_subset_variability,7,1000,63847.908,0.0010101234567901237
all,dk_plus_1,between_subset_variability,8,999,70285.67367367368,0.0009448955127967475
all,dk_plus_1,between_subset_variability,9,1001,82702.17282717282,0.000830527497194164
all,dk_plus_1,within_subset_variability,0,1000,18663.426,0.0031125925925925926
all,dk_plus_1,within_subset_variability,1,1000,31622.377,0.0028214814814814817
all,dk_plus_1,within_subset_variability,2,1000,38749.061,0.002751851851851852
all,dk_plus_1,within_subset_variability,3,1000,44313.178,0.0027911111111111114
all,dk_plus_1,within_subset_variability,4,1000,49454.723,0.002791851851851852
all,dk_plus_1,within_subset_variability,5,1000,54164.113,0.0028162962962962968
all,dk_plus_1,within_subset_variability,6,1000,58715.017,0.0026614814814814817
all,dk_plus_1,within_subset_variability,7,1000,63847.908,0.002684444444444445
all,dk_plus_1,within_subset_variability,8,999,70285.67367367368,0.0025855485114744375
all,dk_plus_1,within_subset_variability,9,1001,82702.17282717282,0.0022296222296222298
all,d20,harmful_frequency_all,0,1000,20494.517,0.8204444444444444
all,d20,harmful_frequency_all,1,1000,34074.952,0.7737777777777778
all,d20,harmful_frequency_all,2,1000,41462.541,0.7533333333333334
all,d20,harmful_frequency_all,3,1000,47206.387,0.7331111111111112
