scope,descriptor,target,queries,spearman
all,d1,harmful_frequency_all,10000,-0.14903013639628734
all,d1,harmful_subset_frequency,10000,-0.14714499202000358
all,d1,overall_mean_loss,10000,-0.13183976096974812
all,d1,between_subset_variability,10000,-0.02645968679684433
all,d1,within_subset_variability,10000,-0.03736397214681624
all,dk,harmful_frequency_all,10000,-0.2110241784724716
all,dk,harmful_subset_frequency,10000,-0.20259110141077186
all,dk,overall_mean_loss,10000,-0.21182049717831972
all,dk,between_subset_variability,10000,-0.06417612812662618
all,dk,within_subset_variability,10000,-0.094701770479388
all,dk_plus_1,harmful_frequency_all,10000,-0.2207380416114468
all,dk_plus_1,harmful_subset_frequency,10000,-0.2117762718913482
all,dk_plus_1,overall_mean_loss,10000,-0.22205001526947601
all,dk_plus_1,between_subset_variability,10000,-0.06777807980934179
all,dk_plus_1,within_subset_variability,10000,-0.10030394008626348
all,d20,harmful_frequency_all,10000,-0.22897048483628904
all,d20,harmful_subset_frequency,10000,-0.2189347071228551
all,d20,overall_mean_loss,10000,-0.23486071116502977
all,d20,between_subset_variability,10000,-0.07382636356713204
all,d20,within_subset_variability,10000,-0.11147138728131577
all,boundary_margin,harmful_frequency_all,10000,-0.32448194715755524
all,boundary_margin,harmful_subset_frequency,10000,-0.28527790633397937
all,boundary_margin,overall_mean_loss,10000,-0.34975914799915914
all,boundary_margin,between_subset_variability,10000,-0.09329102627255262
all,boundary_margin,within_subset_variability,10000,-0.15634126050551597
all,relative_boundary_margin,harmful_frequency_all,10000,-0.2523854013369658
all,relative_boundary_margin,harmful_subset_frequency,10000,-0.21775214592983202
all,relative_boundary_margin,overall_mean_loss,10000,-0.2763411758044594
all,relative_boundary_margin,between_subset_variability,10000,-0.07274128986191417
all,relative_boundary_margin,within_subset_variability,10000,-0.12263630511954633
all,boundary_gap_r1,harmful_frequency_all,10000,-0.32448194715755524
all,boundary_gap_r1,harmful_subset_frequency,10000,-0.28527790633397937
all,boundary_gap_r1,overall_mean_loss,10000,-0.34975914799915914
all,boundary_gap_r1,between_subset_variability,10000,-0.09329102627255262
all,boundary_gap_r1,within_subset_variability,10000,-0.15634126050551597
all,boundary_gap_r2,harmful_frequency_all,10000,-0.44699468818775817
all,boundary_gap_r2,harmful_subset_frequency,10000,-0.3932343853859123
all,boundary_gap_r2,overall_mean_loss,10000,-0.5300569052843609
all,boundary_gap_r2,between_subset_variability,10000,-0.18112904102529473
all,boundary_gap_r2,within_subset_variability,10000,-0.30955199148284557
all,boundary_gap_r5,harmful_frequency_all,10000,-0.38406592860566735
all,boundary_gap_r5,harmful_subset_frequency,10000,-0.3409575196723284
all,boundary_gap_r5,overall_mean_loss,10000,-0.47965725948626375
all,boundary_gap_r5,between_subset_variability,10000,-0.20300277977857437
all,boundary_gap_r5,within_subset_variability,10000,-0.3213991485550668
all,local_distance_concentration,harmful_frequency_all,10000,-0.037577442778828005
all,local_distance_concentration,harmful_subset_frequency,10000,-0.022869407417902478
all,local_distance_concentration,overall_mean_loss,10000,-0.08766210791012065
all,local_distance_concentration,between_subset_variability,10000,-0.053145117958681556
all,local_distance_concentration,within_subset_variability,10000,-0.09516276380516034
all,candidate_count,harmful_frequency_all,10000,-0.17125868989021928
all,candidate_count,harmful_subset_frequency,10000,-0.15057523692733274
all,candidate_count,overall_mean_loss,10000,-0.14809965765659136
all,candidate_count,between_subset_variability,10000,-0.012299281423117678
all,candidate_count,within_subset_variability,10000,-0.013445860809810436
all,oracle_recall,harmful_frequency_all,10000,0.4715920981341843
all,oracle_recall,harmful_subset_frequency,10000,0.44625888409528564
all,oracle_recall,overall_mean_loss,10000,0.4469885073804816
all,oracle_recall,between_subset_variability,10000,0.13599761881155656
all,oracle_recall,within_subset_variability,10000,0.1669907807144225
oracle1,d1,harmful_frequency_all,7136,0.05879995505654556
oracle1,d1,harmful_subset_frequency,7136,0.056404405911188824
oracle1,d1,overall_mean_loss,7136,0.0695155077987943
oracle1,d1,between_subset_variability,7136,0.047277034642429466
oracle1,d1,within_subset_variability,7136,0.05432873057911063
oracle1,dk,harmful_frequency_all,7136,-0.035325278555378974
oracle1,dk,harmful_subset_frequency,7136,-0.026353838050516186
oracle1,dk,overall_mean_loss,7136,-0.048621572067508105
oracle1,dk,between_subset_variability,7136,0.006446605607663019
oracle1,dk,within_subset_variability,7136,-0.0124721319005681
oracle1,dk_plus_1,harmful_frequency_all,7136,-0.050020904820558265
oracle1,dk_plus_1,harmful_subset_frequency,7136,-0.04106650351823734
oracle1,dk_plus_1,overall_mean_loss,7136,-0.06361753021381424
oracle1,dk_plus_1,between_subset_variability,7136,0.0019073258541987793
oracle1,dk_plus_1,within_subset_variability,7136,-0.019390663178439158
oracle1,d20,harmful_frequency_all,7136,-0.07347492610767832
oracle1,d20,harmful_subset_frequency,7136,-0.06309019151065637
oracle1,d20,overall_mean_loss,7136,-0.09275557195591011
oracle1,d20,between_subset_variability,7136,-0.00875625989735351
oracle1,d20,within_subset_variability,7136,-0.037291020382824204
oracle1,boundary_margin,harmful_frequency_all,7136,-0.4583209392039819
oracle1,boundary_margin,harmful_subset_frequency,7136,-0.41380340786448194
oracle1,boundary_margin,overall_mean_loss,7136,-0.48094044089065446
oracle1,boundary_margin,between_subset_variability,7136,-0.09889615377101912
oracle1,boundary_margin,within_subset_variability,7136,-0.16452524225253268
oracle1,relative_boundary_margin,harmful_frequency_all,7136,-0.44620352428505483
