model_count,model_frequency,subset_frequency,pairs,fraction_union
1,0.1111111111111111,1,123538,0.5063281800744299
1,0.1111111111111111,2,0,0.0
1,0.1111111111111111,3,0,0.0
2,0.2222222222222222,1,16310,0.06684754987950227
2,0.2222222222222222,2,38050,0.1559502926373428
2,0.2222222222222222,3,0,0.0
3,0.3333333333333333,1,1745,0.0071519910815286
3,0.3333333333333333,2,20114,0.08243848058101218
3,0.3333333333333333,3,8065,0.033054904339557684
4,0.4444444444444444,1,0,0.0
4,0.4444444444444444,2,7421,0.030415430267062313
4,0.4444444444444444,3,10120,0.041477449710641504
5,0.5555555555555556,1,0,0.0
5,0.5555555555555556,2,1838,0.007533157368395167
5,0.5555555555555556,3,8050,0.03299342590619211
6,0.6666666666666666,1,0,0.0
6,0.6666666666666666,2,290,0.0011885830450677902
6,0.6666666666666666,3,4772,0.019558338934701706
7,0.7777777777777778,1,0,0.0
7,0.7777777777777778,2,0,0.0
7,0.7777777777777778,3,2403,0.009848845025165172
8,0.8888888888888888,1,0,0.0
8,0.8888888888888888,2,0,0.0
8,0.8888888888888888,3,901,0.0036928045641588933
9,1.0,1,0,0.0
9,1.0,2,0,0.0
9,1.0,3,371,0.0015205665852418971
