model_a,model_b,relation,harmful_jaccard,loss_spearman,inversion_spearman,homogeneous_independent_jaccard,inversion_pair_jaccard
A1,A2,within,0.667656491269747,0.4216159736054222,0.4477076272259524,0.5408259448223425,0.1632766407830069
A1,A3,within,0.6613931523022432,0.40794034759263126,0.44596702942137656,0.5427130057514405,0.16182961359093936
A1,B1,between,0.6535664007508212,0.38329376735571197,0.4093296000934217,0.5440668800162866,0.14300279085095208
A1,B2,between,0.6591526023840434,0.401130464327089,0.41238400474638076,0.5418879054073596,0.14357776739841197
A1,B3,between,0.6540680560461557,0.38753180351917765,0.4173031574174454,0.5412980826056557,0.14432979031390877
A1,C1,between,0.6528857479387514,0.38572941429329294,0.41423562820096027,0.5404126202615159,0.14215731488598515
A1,C2,between,0.6594690265486726,0.3842977830842595,0.4139616706451837,0.5422416128741732,0.14060797895299365
A1,C3,between,0.6604618284637135,0.392189274622567,0.4178605469326539,0.5440080584644227,0.14201662583667318
A2,A3,within,0.6676515778276799,0.42142573544608714,0.45381386566993553,0.544993737957521,0.16266750091245633
A2,B1,between,0.6617283950617284,0.39385852029850293,0.4165328373634095,0.5463590296633744,0.14650741947158885
A2,B2,between,0.664816345813157,0.40321557405031133,0.4322617164686063,0.5441616934476002,0.147124424155254
A2,B3,between,0.6679692125518059,0.41768682988302525,0.4333257647323671,0.5435669131270877,0.1494770331247011
A2,C1,between,0.6612750885478158,0.38623606665538407,0.41179288662688796,0.5426740185847981,0.14130769073052712
A2,C2,between,0.6604262333686566,0.39419624325069297,0.41794044589687834,0.5445183764665079,0.14424892925331545
A2,C3,between,0.6672958942897593,0.3934553329595626,0.4200515531711261,0.5462997114649819,0.14743754961493655
A3,B1,between,0.660804314691054,0.39862693919893744,0.42032239691466183,0.5482849691664485,0.14598967863971873
A3,B2,between,0.6617266525523406,0.39312971022155235,0.4135102851937648,0.5460721456050651,0.14432254128449853
A3,B3,between,0.6580152671755726,0.4013933597567782,0.42120002816341545,0.5454731839220477,0.14258549270729476
A3,C1,between,0.6605439773931473,0.39971860538713744,0.41775193402041566,0.5445740208760959,0.14260631673506052
A3,C2,between,0.658336266572803,0.38048203275800246,0.41277132580159365,0.546431338344636,0.14031731742995388
A3,C3,between,0.6694955209806694,0.40167267277946755,0.4237160347150152,0.548225232055341,0.14372738608720537
B1,B2,within,0.6683565196887526,0.4156206499447702,0.44846176161239487,0.5474428525997423,0.1584205318230625
B1,B3,within,0.6723036896877956,0.4128246561257608,0.46124370698344375,0.5468408818679774,0.16296685954760654
B1,C1,between,0.6607100869974136,0.387888794982567,0.4167374212359595,0.5459372078522315,0.14229565395864333
B1,C2,between,0.6633768064857244,0.3878679283906899,0.413711595637687,0.547803851432784,0.14151992585727524
B1,C3,between,0.6610467158412364,0.3859062849353212,0.4305178872673747,0.5496067830462468,0.14263564299503018
B2,B3,within,0.6774500475737393,0.42906666163071805,0.4476211415016833,0.5446396759428317,0.15845650337837838
B2,C1,between,0.6604596346493813,0.39326829741607944,0.4091784106109836,0.5437432564639989,0.1407158120761028
B2,C2,between,0.6623498940428538,0.3971531965766966,0.41274757269831175,0.5455949018311349,0.14444687113246596
B2,C3,between,0.6658817989168825,0.4006746239334215,0.4326181544615297,0.547383298839444,0.14423624706089513
B3,C1,between,0.6551845755936986,0.38143227200798024,0.40921832172067335,0.5431493900137289,0.14131038312048863
B3,C2,between,0.6572703782006107,0.3835094319591758,0.40763507669495314,0.5449969860514147,0.1418728371468416
B3,C3,between,0.6605989430416911,0.38742010924914383,0.41806779202367067,0.5467814589997514,0.14087576981997266
C1,C2,within,0.665878737737856,0.40532781637256776,0.4413377921193602,0.544099390966448,0.15870669553630912
C1,C3,within,0.6686355581807443,0.4036581006170208,0.44763601522495283,0.5458779812079024,0.15434522087689573
C2,C3,within,0.6770524819334202,0.40947528262354266,0.4438224508410756,0.5477442191081009,0.15655563061892636
