model,subset,fixed_candidate_recall,ranking_recall_loss,cross_boundary_inversion_count,global_mae,random_pair_inversion_rate,topk_agreement
A1,A,0.8536400000000002,0.09951,5.5562,1309.7091247814656,0.0344392578125,0.8797300000000001
A2,A,0.8527300000000001,0.10042000000000001,5.5446,1318.9454297960872,0.03456015625,0.8792600000000003
A3,A,0.8523400000000001,0.10081000000000001,5.6048,1309.0620972611136,0.0345095703125,0.8787200000000001
B1,B,0.8525500000000001,0.10060000000000001,5.5427,1309.6489095609738,0.0343337890625,0.8789100000000002
B2,B,0.8531900000000001,0.09996000000000001,5.4616,1310.0042390902336,0.0344228515625,0.8802200000000001
B3,B,0.8529900000000001,0.10016000000000001,5.5113,1313.713506055931,0.0344212890625,0.8799000000000001
C1,C,0.8530300000000001,0.10012,5.5884,1314.9597694697518,0.03456484375,0.8794300000000003
C2,C,0.8524500000000002,0.10070000000000001,5.5426,1314.6111613762534,0.034282421875,0.8790500000000002
C3,C,0.8515400000000002,0.10161,5.5852,1313.6297331268318,0.0345080078125,0.87787
O1,O,0.85313,0.10002,5.5846,1315.331578362415,0.034375,0.87982
O2,O,0.85331,0.09984000000000001,5.5208,1310.4156808295734,0.0343578125,0.8795500000000002
O3,O,0.8526600000000001,0.10049000000000001,5.511,1315.118885672992,0.0344609375,0.8795800000000001
O4,O,0.8530400000000001,0.10011,5.5048,1315.448500503584,0.0344513671875,0.8795100000000002
O5,O,0.8531200000000001,0.10003000000000001,5.5914,1316.0343279537965,0.034430078125,0.8789800000000003
