scope,category,descriptor,queries,mean,median,p90,p95,p99,min,max
all,rotation-robust,d1,674,46361.86498516321,48711.0,69095.5,74470.80000000002,84297.29,2007.0,125740.0
all,rotation-robust,dk,674,61979.08160237389,62405.5,83712.70000000003,90325.50000000001,102611.06999999993,5786.0,141757.0
all,rotation-robust,dk_plus_1,674,62958.940652818994,63048.5,84685.8,90937.25,103739.04999999993,6085.0,142046.0
all,rotation-robust,d20,674,66431.10237388725,66019.5,88345.00000000001,94122.8,108289.47999999994,8203.0,147223.0
all,rotation-robust,boundary_margin,674,979.8590504451039,574.0,2471.600000000001,3286.75,4706.039999999999,0.0,6627.0
all,rotation-robust,relative_boundary_margin,674,0.019968285775725566,0.009193572930338227,0.055472529711145344,0.07191686396846103,0.14433279501730864,0.0,0.24173529752928893
all,rotation-robust,boundary_gap_r1,674,979.8590504451039,574.0,2471.600000000001,3286.75,4706.039999999999,0.0,6627.0
all,rotation-robust,boundary_gap_r2,674,2424.2833827893173,2001.5,4647.800000000001,5811.200000000001,8660.249999999998,29.0,14903.0
all,rotation-robust,boundary_gap_r5,674,6416.989614243324,5517.0,10116.100000000004,13144.600000000002,21166.059999999972,1049.0,33004.0
all,rotation-robust,local_distance_concentration,674,0.7886355459813428,0.32011063784206484,1.9707433652246185,3.0535107096185388,5.6378495316732895,0.09593808500747553,20.390134529147982
all,rotation-robust,candidate_count,674,1138.6142433234422,1168.5,1350.7,1395.0,1508.1599999999999,287.0,1620.0
all,rotation-robust,oracle_recall,674,0.7955489614243324,0.8,1.0,1.0,1.0,0.1,1.0
all,occasionally vulnerable,d1,1234,41789.29335494327,42969.5,65272.000000000015,71864.34999999999,83561.53000000017,1479.0,111426.0
all,occasionally vulnerable,dk,1234,56382.54132901134,56960.0,79790.1,85347.4,95483.86000000002,5998.0,128010.0
all,occasionally vulnerable,dk_plus_1,1234,57175.0510534846,57713.0,80256.8,85977.9,97431.19000000003,6363.0,128651.0
all,occasionally vulnerable,d20,1234,60690.34197730956,61131.0,84424.4,90211.85,102258.04000000007,7891.0,131235.0
all,occasionally vulnerable,boundary_margin,1234,792.5097244732577,565.0,1874.5000000000002,2295.4499999999994,2968.1700000000037,0.0,5183.0
all,occasionally vulnerable,relative_boundary_margin,1234,0.01625006602873104,0.010699158501873435,0.04014345633762683,0.04966610614503806,0.06964347617870782,0.0,0.12018631502984976
all,occasionally vulnerable,boundary_gap_r1,1234,792.5097244732577,565.0,1874.5000000000002,2295.4499999999994,2968.1700000000037,0.0,5183.0
all,occasionally vulnerable,boundary_gap_r2,1234,2095.564829821718,1853.0,3694.8000000000006,4396.35,6451.380000000001,74.0,9160.0
all,occasionally vulnerable,boundary_gap_r5,1234,5846.753646677472,5207.5,9104.500000000002,11126.599999999999,16601.140000000018,929.0,39738.0
all,occasionally vulnerable,local_distance_concentration,1234,0.8354278475440209,0.3587699420833096,1.7989422849164307,3.2121462616285315,8.050780795660812,0.07760971981155468,27.13184584178499
all,occasionally vulnerable,candidate_count,1234,1085.8638573743922,1127.0,1311.0,1365.0,1488.67,340.0,1598.0
all,occasionally vulnerable,oracle_recall,1234,0.8943273905996759,0.9,1.0,1.0,1.0,0.4,1.0
all,usually vulnerable,d1,3112,37788.88303341902,37842.5,60388.9,65793.59999999998,75935.84,953.0,100912.0
all,usually vulnerable,dk,3112,51489.754498714654,52125.5,72702.90000000001,79327.29999999999,88818.56999999999,3735.0,110334.0
all,usually vulnerable,dk_plus_1,3112,52012.00867609255,52563.0,73396.2,79871.39999999997,89776.18999999999,3914.0,110369.0
all,usually vulnerable,d20,3112,55331.01606683805,55818.0,77339.9,83965.75,94300.74999999997,4332.0,115361.0
all,usually vulnerable,boundary_margin,3112,522.254177377892,400.0,1161.8000000000002,1459.4499999999998,1934.8899999999999,0.0,2909.0
all,usually vulnerable,relative_boundary_margin,3112,0.011181471189615442,0.00839774848668704,0.024501952341091503,0.03143207402286528,0.0470655342988912,0.0,0.09327456277548699
all,usually vulnerable,boundary_gap_r1,3112,522.254177377892,400.0,1161.8000000000002,1459.4499999999998,1934.8899999999999,0.0,2909.0
all,usually vulnerable,boundary_gap_r2,3112,1625.3341902313625,1442.5,2822.6000000000004,3424.699999999999,4776.23,29.0,7525.0
all,usually vulnerable,boundary_gap_r5,3112,5030.369537275064,4557.0,7871.8,9328.099999999997,13289.269999999995,672.0,33749.0
all,usually vulnerable,local_distance_concentration,3112,0.8516136970381296,0.37157115585644596,1.6247558093803132,2.9614996430733687,9.112122931598115,0.06377947435984055,44.199887387387385
all,usually vulnerable,candidate_count,3112,1039.6584190231363,1078.0,1289.0,1341.0,1452.5599999999995,266.0,1742.0
all,usually vulnerable,oracle_recall,3112,0.9560089974293059,1.0,1.0,1.0,1.0,0.5,1.0
all,rotation-persistent,d1,4980,35667.62510040161,35955.0,57366.30000000001,63009.2,74312.65000000001,433.0,95624.0
all,rotation-persistent,dk,4980,47414.17670682731,48090.5,70030.1,76239.15,87837.0,980.0,119008.0
all,rotation-persistent,dk_plus_1,4980,47726.97911646586,48365.5,70566.8,76656.20000000001,88352.86,1012.0,119842.0
all,rotation-persistent,d20,4980,50472.888353413655,51101.5,74121.20000000001,80350.2,92965.24,1214.0,123586.0
all,rotation-persistent,boundary_margin,4980,312.8024096385542,223.0,710.2000000000007,915.0,1385.21,0.0,3426.0
all,rotation-persistent,relative_boundary_margin,4980,0.007174954916482135,0.005211399289061711,0.016195701191301776,0.02082395297495338,0.03129391001801069,0.0,0.0828636408583012
all,rotation-persistent,boundary_gap_r1,4980,312.8024096385542,223.0,710.2000000000007,915.0,1385.21,0.0,3426.0
all,rotation-persistent,boundary_gap_r2,4980,1018.7654618473896,883.5,1861.2000000000007,2215.05,3187.84,5.0,6888.0
all,rotation-persistent,boundary_gap_r5,4980,3754.119076305221,3414.0,6156.200000000001,7212.05,10009.130000000001,170.0,28422.0
all,rotation-persistent,local_distance_concentration,4980,0.6754085955920055,0.3475441687369579,1.1405097685707,2.3498292529928064,6.827530208854877,0.06790586535522769,20.309745762711863
all,rotation-persistent,candidate_count,4980,1006.0738955823293,1049.0,1261.0,1316.0,1404.42,247.0,1722.0
all,rotation-persistent,oracle_recall,4980,0.987269076305221,1.0,1.0,1.0,1.0,0.7,1.0
oracle1,rotation-robust,d1,136,25217.264705882353,21917.0,48099.0,54860.75,64678.15000000003,2007.0,69805.0
oracle1,rotation-robust,dk,136,43892.81617647059,43470.0,65008.0,74483.25,82777.65,5786.0,86264.0
oracle1,rotation-robust,dk_plus_1,136,46340.367647058825,46001.5,69038.0,76917.75,86192.95000000001,6085.0,90664.0
oracle1,rotation-robust,d20,136,51525.375,52182.5,75091.5,81686.5,91733.40000000001,8203.0,96181.0
oracle1,rotation-robust,boundary_margin,136,2447.551470588235,2208.0,4306.0,4705.0,6306.6,299.0,6627.0
oracle1,rotation-robust,relative_boundary_margin,136,0.06182473915453705,0.05358694299633915,0.10538319577100103,0.14430007462166752,0.21034263994414115,0.005900903515390717,0.24173529752928893
oracle1,rotation-robust,boundary_gap_r1,136,2447.551470588235,2208.0,4306.0,4705.0,6306.6,299.0,6627.0
oracle1,rotation-robust,boundary_gap_r2,136,4640.963235294118,4056.5,7342.5,8448.75,14146.050000000008,1483.0,14903.0
oracle1,rotation-robust,boundary_gap_r5,136,9990.066176470587,8793.5,17276.0,21134.5,25679.000000000015,2301.0,33004.0
oracle1,rotation-robust,local_distance_concentration,136,1.8834932665528399,1.119026474798603,3.9238243009050944,4.791847539841412,12.003886596009067,0.16255221340641368,20.390134529147982
oracle1,rotation-robust,candidate_count,136,930.0588235294117,981.0,1201.5,1233.75,1300.2,287.0,1395.0
oracle1,rotation-robust,oracle_recall,136,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,occasionally vulnerable,d1,488,30063.465163934427,28249.0,52431.9,58265.64999999999,70966.76999999999,1479.0,77650.0
oracle1,occasionally vulnerable,dk,488,47078.55737704918,46116.0,71350.7,76842.6,84971.73,5998.0,93676.0
oracle1,occasionally vulnerable,dk_plus_1,488,48346.12295081967,47583.5,72043.6,79388.7,87639.73,6363.0,97192.0
