scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
all,d1,R0-I1,-0.09165428066714837,-0.135191601339111
all,d1,R0-I2,-0.09179407167838023,-0.135191601339111
all,d1,R0-I3,-0.09417372818635002,-0.135191601339111
all,d1,R1-I1,-0.10041575489710568,-0.135191601339111
all,d1,R1-I2,-0.09784849032646935,-0.135191601339111
all,d1,R1-I3,-0.10927976379056864,-0.135191601339111
all,d1,R2-I1,-0.08853867653309161,-0.135191601339111
all,d1,R2-I2,-0.09400596832217457,-0.135191601339111
all,d1,R2-I3,-0.09314115474561219,-0.135191601339111
all,d1,R3-I1,-0.09281940940466331,-0.135191601339111
all,d1,R3-I2,-0.08895045282837524,-0.135191601339111
all,d1,R3-I3,-0.09101970548904922,-0.135191601339111
all,d1,R4-I1,-0.10562051618970918,-0.135191601339111
all,d1,R4-I2,-0.09739238060358385,-0.135191601339111
all,d1,R4-I3,-0.09647460407042911,-0.135191601339111
all,dk,R0-I1,-0.1417641093788784,-0.22905461198141108
all,dk,R0-I2,-0.1384475150175964,-0.22905461198141108
all,dk,R0-I3,-0.15165946640718614,-0.22905461198141108
all,dk,R1-I1,-0.16121284724595691,-0.22905461198141108
all,dk,R1-I2,-0.15417438236768147,-0.22905461198141108
all,dk,R1-I3,-0.17381412764682092,-0.22905461198141108
all,dk,R2-I1,-0.14780457265555244,-0.22905461198141108
all,dk,R2-I2,-0.15622502470466537,-0.22905461198141108
all,dk,R2-I3,-0.1592228729427352,-0.22905461198141108
all,dk,R3-I1,-0.15090280569902884,-0.22905461198141108
all,dk,R3-I2,-0.15194306538535535,-0.22905461198141108
all,dk,R3-I3,-0.15540192623365637,-0.22905461198141108
all,dk,R4-I1,-0.16797689841765753,-0.22905461198141108
all,dk,R4-I2,-0.15729303589284457,-0.22905461198141108
all,dk,R4-I3,-0.15391249448769337,-0.22905461198141108
all,dk_plus_1,R0-I1,-0.14855721307190722,-0.2397795193992542
all,dk_plus_1,R0-I2,-0.14539069430075977,-0.2397795193992542
all,dk_plus_1,R0-I3,-0.15879689558111862,-0.2397795193992542
all,dk_plus_1,R1-I1,-0.16777995845970364,-0.2397795193992542
all,dk_plus_1,R1-I2,-0.16117290291154673,-0.2397795193992542
all,dk_plus_1,R1-I3,-0.18093770533701373,-0.2397795193992542
all,dk_plus_1,R2-I1,-0.15468147171663926,-0.2397795193992542
all,dk_plus_1,R2-I2,-0.16310810411225163,-0.2397795193992542
all,dk_plus_1,R2-I3,-0.16614453603347726,-0.2397795193992542
all,dk_plus_1,R3-I1,-0.15774682152887332,-0.2397795193992542
all,dk_plus_1,R3-I2,-0.15861816900836023,-0.2397795193992542
all,dk_plus_1,R3-I3,-0.16272488013722444,-0.2397795193992542
all,dk_plus_1,R4-I1,-0.17514329041522161,-0.2397795193992542
all,dk_plus_1,R4-I2,-0.16372873446978325,-0.2397795193992542
all,dk_plus_1,R4-I3,-0.16081706076433958,-0.2397795193992542
all,d20,R0-I1,-0.15723846890971666,-0.2557819197897462
