model_count,rotation_count,pairs,fraction_union
1,1,161373,0.4455393059578075
1,2,0,0.0
1,3,0,0.0
1,4,0,0.0
1,5,0,0.0
2,1,16440,0.04538966363608754
2,2,56461,0.15588478093413252
2,3,0,0.0
2,4,0,0.0
2,5,0,0.0
3,1,1673,0.004619033288514262
3,2,21465,0.05926332907230043
3,3,20928,0.05778071049732604
3,4,0,0.0
3,5,0,0.0
4,1,0,0.0
4,2,5787,0.015977492911316216
4,3,17614,0.04863099363053808
4,4,6103,0.016849946299941746
4,5,0,0.0
5,1,0,0.0
5,2,1070,0.002954193436168715
5,3,9383,0.025905791599599114
5,4,8888,0.024539132019315454
5,5,942,0.002600794595206476
6,1,0,0.0
6,2,109,0.0003009412005069065
6,3,3619,0.009991800042518298
6,4,7995,0.022073622917914835
6,5,2269,0.006264546641744686
7,1,0,0.0
7,2,0,0.0
7,3,981,0.0027084708045621584
7,4,5278,0.014572180332802314
7,5,2947,0.008136456127466545
8,1,0,0.0
8,2,0,0.0
8,3,196,0.0005411419752234281
8,4,2568,0.007090064246804915
8,5,2809,0.007755448002054131
9,1,0,0.0
9,2,0,0.0
9,3,24,6.626228268041977e-05
9,4,971,0.002680861520111983
9,5,2051,0.005662664240730873
10,1,0,0.0
10,2,0,0.0
10,3,0,0.0
10,4,266,0.0007344069663746524
10,5,1123,0.0031005226437546417
11,1,0,0.0
11,2,0,0.0
11,3,0,0.0
11,4,51,0.000140807350695892
11,5,558,0.0015405980723197598
12,1,0,0.0
12,2,0,0.0
12,3,0,0.0
12,4,4,1.1043713780069963e-05
12,5,183,0.0005052499054382008
13,1,0,0.0
13,2,0,0.0
13,3,0,0.0
13,4,0,0.0
13,5,59,0.00016289477825603193
14,1,0,0.0
14,2,0,0.0
14,3,0,0.0
14,4,0,0.0
14,5,8,2.2087427560139925e-05
15,1,0,0.0
15,2,0,0.0
15,3,0,0.0
15,4,0,0.0
15,5,1,2.7609284450174907e-06
