model_a,model_b,rotation_a,rotation_b,relation,same_init,basis_relation,harmful_prevalence_a,harmful_prevalence_b,harmful_jaccard,independent_marginal_jaccard,loss_spearman,inversion_spearman,pair_jaccard
R0-I1,R0-I2,0,0,within,False,same,0.7001,0.7039,0.667656491269747,0.5408259448223425,0.4216159736054222,0.4477076272259524,0.1632766407830069
R0-I1,R0-I3,0,0,within,False,same,0.7001,0.7071,0.6613931523022432,0.5427130057514405,0.40794034759263126,0.44596702942137656,0.16182961359093936
R0-I1,R1-I1,0,1,between,True,identity_to_random,0.7001,0.7337,0.6527953890489914,0.5582468442757245,0.342498227736241,0.3583661696647716,0.11369937944432917
R0-I1,R1-I2,0,1,between,False,identity_to_random,0.7001,0.7306,0.6578215527230591,0.5564503897239941,0.3551477660591662,0.36676967959916484,0.11517686174013281
R0-I1,R1-I3,0,1,between,False,identity_to_random,0.7001,0.7258,0.6584089323098395,0.5536616019775467,0.35648628087774903,0.3575545839800531,0.11597923441154658
R0-I1,R2-I1,0,2,between,True,identity_to_random,0.7001,0.7246,0.6585564610011642,0.5529630375612564,0.3456667677850772,0.3705475918871033,0.11529263206229552
R0-I1,R2-I2,0,2,between,False,identity_to_random,0.7001,0.7229,0.6567702875771335,0.5519724659362492,0.35045368864111215,0.36856872191073226,0.1174233058825767
R0-I1,R2-I3,0,2,between,False,identity_to_random,0.7001,0.7352,0.662381283298587,0.5591147938648849,0.34640243829159995,0.3541104123945812,0.11590373355638355
R0-I1,R3-I1,0,3,between,True,identity_to_random,0.7001,0.7268,0.6492140545538604,0.5542433206314326,0.3398749327005379,0.35597878269655064,0.11503355704697986
R0-I1,R3-I2,0,3,between,False,identity_to_random,0.7001,0.7271,0.6589561780774148,0.5544177621243958,0.3620092315832133,0.3690891050952589,0.116110346409727
R0-I1,R3-I3,0,3,between,False,identity_to_random,0.7001,0.7254,0.6539041652163824,0.5534288080522776,0.35542333200938364,0.37587305032920443,0.11920979623074715
R0-I1,R4-I1,0,4,between,True,identity_to_random,0.7001,0.7274,0.6583410780669146,0.5545921694337536,0.3636155884654772,0.3747262029145643,0.11615783410138249
R0-I1,R4-I2,0,4,between,False,identity_to_random,0.7001,0.7288,0.6526717557251909,0.5554056185226265,0.3427068995467881,0.36085970789317784,0.1186128926638547
R0-I1,R4-I3,0,4,between,False,identity_to_random,0.7001,0.7215,0.6463231036479444,0.5511558735434794,0.33965869218944583,0.35827190374694123,0.11592016374696097
R0-I2,R0-I3,0,0,within,False,same,0.7039,0.7071,0.6676515778276799,0.544993737957521,0.42142573544608714,0.45381386566993553,0.16266750091245633
R0-I2,R1-I1,0,1,between,False,identity_to_random,0.7039,0.7337,0.6621574748525841,0.5606602960909988,0.3594736089625706,0.37186667420751307,0.11742140807183382
R0-I2,R1-I2,0,1,between,True,identity_to_random,0.7039,0.7306,0.6581898046468616,0.5588483000555535,0.3577570198683064,0.3661081059518961,0.11614522686926146
R0-I2,R1-I3,0,1,between,False,identity_to_random,0.7039,0.7258,0.6593546889507892,0.5560354858371167,0.36613582517863585,0.3695289675373093,0.11716003391800608
R0-I2,R2-I1,0,2,between,False,identity_to_random,0.7039,0.7246,0.6614328913700861,0.5553309220496014,0.3575576584675719,0.3779314741773472,0.11736827967304962
R0-I2,R2-I2,0,2,between,True,identity_to_random,0.7039,0.7229,0.6602280660926227,0.5543318563222606,0.3571627234725493,0.3715021564342197,0.11493128436968725
R0-I2,R2-I3,0,2,between,False,identity_to_random,0.7039,0.7352,0.6623541642601363,0.5615357725482032,0.35991073165375365,0.3751540059323487,0.11827690430106502
R0-I2,R3-I1,0,3,between,False,identity_to_random,0.7039,0.7268,0.6585903083700441,0.5566222061911762,0.3536356534380835,0.3632556084732955,0.11556852879611315
R0-I2,R3-I2,0,3,between,True,identity_to_random,0.7039,0.7271,0.6583613396685595,0.5567981485873209,0.35058176111889267,0.36028570813605615,0.11595090263759603
R0-I2,R3-I3,0,3,between,False,identity_to_random,0.7039,0.7254,0.656583217431618,0.5558006917973961,0.35551443911382674,0.3778710463171154,0.1202005099008952
R0-I2,R4-I1,0,4,between,False,identity_to_random,0.7039,0.7274,0.663335270191749,0.5569740569809646,0.3613708257940536,0.357465683963979,0.11519405450041288
R0-I2,R4-I2,0,4,between,True,identity_to_random,0.7039,0.7288,0.6509564415764001,0.5577945135188337,0.33686275857368975,0.3665778074363952,0.11828195318447705
R0-I2,R4-I3,0,4,between,False,identity_to_random,0.7039,0.7215,0.6557091415960041,0.5535082732162652,0.35937652532338793,0.3691941014787269,0.11812556624322917
R0-I3,R1-I1,0,1,between,False,identity_to_random,0.7071,0.7337,0.6579976985040277,0.5626885675025441,0.3504534516366901,0.37225637979980875,0.11857819368714978
R0-I3,R1-I2,0,1,between,False,identity_to_random,0.7071,0.7306,0.6582468281430219,0.5608634587652922,0.36641393869874356,0.3683880150687903,0.11796427688269198
R0-I3,R1-I3,0,1,between,True,identity_to_random,0.7071,0.7258,0.664614312267658,0.5580303738613975,0.3658458683799478,0.3721820154997102,0.11995058678196417
R0-I3,R2-I1,0,2,between,False,identity_to_random,0.7071,0.7246,0.6526607410827658,0.5573207487052548,0.3453580076779713,0.36679841675494707,0.11531133297766938
R0-I3,R2-I2,0,2,between,False,identity_to_random,0.7071,0.7229,0.660473757547608,0.5563145170591172,0.3695639203320771,0.37885441763886135,0.11879995827920693
R0-I3,R2-I3,0,2,between,True,identity_to_random,0.7071,0.7352,0.6599148348486592,0.5635703947295958,0.3594829009203035,0.3694901065785549,0.1167337659262066
R0-I3,R3-I1,0,3,between,False,identity_to_random,0.7071,0.7268,0.657879523644352,0.5586213139567903,0.35892009089198107,0.3633915939227577,0.11641779630231536
R0-I3,R3-I2,0,3,between,False,identity_to_random,0.7071,0.7271,0.6609148812970469,0.5587985226172352,0.3617384495462221,0.3685479475099777,0.11580700418728587
R0-I3,R3-I3,0,3,between,True,identity_to_random,0.7071,0.7254,0.6589461493920092,0.5577938924170247,0.36159553821435064,0.37746008736714315,0.11721127510651248
R0-I3,R4-I1,0,4,between,False,identity_to_random,0.7071,0.7274,0.6589568636521337,0.5589756974326925,0.36488676513120616,0.36808136333594266,0.11774392754219844
R0-I3,R4-I2,0,4,between,False,identity_to_random,0.7071,0.7288,0.6601919297028558,0.5598020660169848,0.35002196509343203,0.36286490281055783,0.11808178210609052
R0-I3,R4-I3,0,4,between,True,identity_to_random,0.7071,0.7215,0.6534722222222222,0.5554850364593347,0.35457360664627113,0.37063930574535,0.11578685497220388
R1-I1,R1-I2,1,1,within,False,same,0.7337,0.7306,0.6856221940831126,0.5774695931235898,0.3870915071963157,0.4311123125930842,0.14079545245497527
R1-I1,R1-I3,1,1,within,False,same,0.7337,0.7258,0.6799033149171271,0.5744667088696382,0.3889757183369904,0.43742202091901855,0.14487495856506205
R1-I1,R2-I1,1,2,between,True,random_to_random,0.7337,0.7246,0.6673908072261605,0.5737146933714639,0.35396307540433863,0.3988744440319427,0.11880614314691394
R1-I1,R2-I2,1,2,between,False,random_to_random,0.7337,0.7229,0.6662091054678563,0.5726484497919674,0.3521850432083854,0.3832520530728332,0.11613059423785654
R1-I1,R2-I3,1,2,between,False,random_to_random,0.7337,0.7352,0.671103526734926,0.580339607009379,0.359304101020203,0.3822246840645386,0.11820609417286304
R1-I1,R3-I1,1,3,between,True,random_to_random,0.7337,0.7268,0.6666666666666666,0.5750929924980924,0.3508180842587542,0.3860312648804629,0.11751373501840402
R1-I1,R3-I2,1,3,between,False,random_to_random,0.7337,0.7271,0.672544080604534,0.5752808074452896,0.3668402022913328,0.3881168693090089,0.11913203929159355
R1-I1,R3-I3,1,3,between,False,random_to_random,0.7337,0.7254,0.6669713241174454,0.574216094653295,0.3538607494284813,0.3926937091457811,0.11985725901165417
R1-I1,R4-I1,1,4,between,True,random_to_random,0.7337,0.7274,0.6807776371793397,0.5754685900344338,0.3788762747120256,0.38325152211613484,0.11616847826086957
R1-I1,R4-I2,1,4,between,False,random_to_random,0.7337,0.7288,0.6718106995884774,0.5763444811840194,0.3578758219884266,0.39536232942329835,0.11759099573386585
R1-I1,R4-I3,1,4,between,False,random_to_random,0.7337,0.7215,0.6689987383874297,0.5717695838931206,0.3532346363190653,0.37780652583434354,0.1157015055244863
R1-I2,R1-I3,1,1,within,False,same,0.7306,0.7258,0.6901473830799583,0.5725645236267564,0.41667251753534773,0.4349076086078167,0.14226030569708198
R1-I2,R2-I1,1,2,between,False,random_to_random,0.7306,0.7246,0.6712989548639026,0.571817476821633,0.3634129264490781,0.38502841118831715,0.11685292884359447
R1-I2,R2-I2,1,2,between,True,random_to_random,0.7306,0.7229,0.6764705882352942,0.5707582669920761,0.3769004944981103,0.38845200772719146,0.11676950078708813
R1-I2,R2-I3,1,2,between,False,random_to_random,0.7306,0.7352,0.6778846153846154,0.5783983957666102,0.3803629255868721,0.3992700998379478,0.11773981603153745
R1-I2,R3-I1,1,3,between,False,random_to_random,0.7306,0.7268,0.6782588668816214,0.5731866643511799,0.37871451650542937,0.39854812762320785,0.11701758233724457
R1-I2,R3-I2,1,3,between,True,random_to_random,0.7306,0.7271,0.6791844257574012,0.5733732360156779,0.376760359400215,0.3790698383233188,0.11488905446417214
R1-I2,R3-I3,1,3,between,False,random_to_random,0.7306,0.7254,0.6697247706422018,0.5723155659802573,0.36782971336437076,0.3978667196388831,0.1182817219169608
R1-I2,R4-I1,1,4,between,False,random_to_random,0.7306,0.7274,0.6781767955801105,0.5735597751324801,0.38065687862512443,0.38422609451441614,0.11655914764524206
R1-I2,R4-I2,1,4,between,True,random_to_random,0.7306,0.7288,0.6688393367638651,0.5744298609081732,0.35479610445175874,0.3751343776067114,0.11406750431140675
R1-I2,R4-I3,1,4,between,False,random_to_random,0.7306,0.7215,0.669080459770115,0.5698851889694836,0.36374458020163364,0.3828610869953056,0.11512986597721521
R1-I3,R2-I1,1,2,between,False,random_to_random,0.7258,0.7246,0.6694290976058932,0.5688729378634156,0.3687323015493868,0.38999219866903256,0.11895131904970122
R1-I3,R2-I2,1,2,between,False,random_to_random,0.7258,0.7229,0.6734434561626429,0.5678245986192623,0.3829540869512813,0.3958499284420621,0.11814452736767922
R1-I3,R2-I3,1,2,between,True,random_to_random,0.7258,0.7352,0.6833736605599724,0.575385869256732,0.377197873958015,0.38550845690504176,0.11796244224840194
R1-I3,R3-I1,1,3,between,False,random_to_random,0.7258,0.7268,0.6738879926250289,0.5702280438966839,0.3681331389035089,0.381332519558238,0.11526105514147122
R1-I3,R3-I2,1,3,between,False,random_to_random,0.7258,0.7271,0.6777136258660508,0.5704126941660351,0.3876559508563504,0.3861802107205308,0.11801755948593969
R1-I3,R3-I3,1,3,between,True,random_to_random,0.7258,0.7254,0.6743971385715934,0.5693659082594889,0.3850676501789246,0.40189014511544013,0.11998800392598785
R1-I3,R4-I1,1,4,between,False,random_to_random,0.7258,0.7274,0.6772853185595568,0.5705973116025725,0.3808856506084424,0.39218274106952494,0.11948059068645368
R1-I3,R4-I2,1,4,between,False,random_to_random,0.7258,0.7288,0.6731078904991948,0.5714584257741826,0.36294140910926803,0.3807383763523999,0.11693371778961968
R1-I3,R4-I3,1,4,between,True,random_to_random,0.7258,0.7215,0.6693194925028835,0.5669604658895129,0.36714198129090475,0.38403660807081424,0.11748913321401176
R2-I1,R2-I2,2,2,within,False,same,0.7246,0.7229,0.6817706517950506,0.5670898614038661,0.41373852433154434,0.4568575758700298,0.14611663606453476
R2-I1,R2-I3,2,2,within,False,same,0.7246,0.7352,0.6858759672017554,0.5746314469281678,0.39768490006822743,0.4417852209522635,0.1470503113534305
R2-I1,R3-I1,2,3,between,True,random_to_random,0.7246,0.7268,0.6777251184834123,0.5694870776950821,0.3801992642838534,0.3926379357932574,0.11746404676902746
R2-I1,R3-I2,2,3,between,False,random_to_random,0.7246,0.7271,0.6688125071847338,0.569671248321905,0.36074479199036996,0.3823558414333147,0.11581263294351783
R2-I1,R3-I3,2,3,between,False,random_to_random,0.7246,0.7254,0.6720479704797048,0.5686271794668304,0.37754339423532973,0.4064518540448873,0.11843523372851324
R2-I1,R4-I1,2,4,between,True,random_to_random,0.7246,0.7274,0.6747404844290658,0.5698553860462519,0.37637183056308143,0.38626307357605855,0.1158669624686016
R2-I1,R4-I2,2,4,between,False,random_to_random,0.7246,0.7288,0.6686567164179105,0.5707142606416485,0.3608256717582496,0.39426122778589623,0.11702899549040678
R2-I1,R4-I3,2,4,between,False,random_to_random,0.7246,0.7215,0.6690904893813481,0.5662279618209056,0.3606144880480575,0.39010223929027815,0.11671565025716385
R2-I2,R2-I3,2,2,within,False,same,0.7229,0.7352,0.6854698878742342,0.5735617962463132,0.40732150191755134,0.44645984473339023,0.14279383660921185
R2-I2,R3-I1,2,3,between,False,random_to_random,0.7229,0.7268,0.6722805398546545,0.5684364758018934,0.37809346492736706,0.39497471559200586,0.11696848852348565
R2-I2,R3-I2,2,3,between,True,random_to_random,0.7229,0.7271,0.6763005780346821,0.5686199674222514,0.3869729015310045,0.4044623318938097,0.12017210326195718
R2-I2,R3-I3,2,3,between,False,random_to_random,0.7229,0.7254,0.664712643678161,0.5675797449777323,0.3643448610439448,0.400205533033551,0.11824847951997244
