R0-I1 500/10000; elapsed 6.0s
R0-I1 1000/10000; elapsed 11.5s
R0-I1 1500/10000; elapsed 17.1s
R0-I1 2000/10000; elapsed 22.8s
R0-I1 2500/10000; elapsed 28.5s
R0-I1 3000/10000; elapsed 34.2s
R0-I1 3500/10000; elapsed 39.8s
R0-I1 4000/10000; elapsed 45.2s
R0-I1 4500/10000; elapsed 50.8s
R0-I1 5000/10000; elapsed 56.5s
R0-I1 5500/10000; elapsed 61.7s
R0-I1 6000/10000; elapsed 67.0s
R0-I1 6500/10000; elapsed 72.0s
R0-I1 7000/10000; elapsed 77.3s
R0-I1 7500/10000; elapsed 83.0s
R0-I1 8000/10000; elapsed 88.2s
R0-I1 8500/10000; elapsed 93.5s
R0-I1 9000/10000; elapsed 98.9s
R0-I1 9500/10000; elapsed 104.6s
R0-I1 10000/10000; elapsed 110.0s
R1-I1 500/10000; elapsed 120.0s
R1-I1 1000/10000; elapsed 125.5s
R1-I1 1500/10000; elapsed 131.2s
R1-I1 2000/10000; elapsed 137.0s
R1-I1 2500/10000; elapsed 142.7s
R1-I1 3000/10000; elapsed 148.4s
R1-I1 3500/10000; elapsed 154.1s
R1-I1 4000/10000; elapsed 159.6s
R1-I1 4500/10000; elapsed 165.1s
R1-I1 5000/10000; elapsed 170.8s
R1-I1 5500/10000; elapsed 176.1s
R1-I1 6000/10000; elapsed 181.5s
R1-I1 6500/10000; elapsed 186.5s
R1-I1 7000/10000; elapsed 191.8s
R1-I1 7500/10000; elapsed 197.6s
R1-I1 8000/10000; elapsed 202.8s
R1-I1 8500/10000; elapsed 208.1s
R1-I1 9000/10000; elapsed 213.5s
R1-I1 9500/10000; elapsed 219.4s
R1-I1 10000/10000; elapsed 224.7s
R2-I1 500/10000; elapsed 234.6s
R2-I1 1000/10000; elapsed 240.0s
R2-I1 1500/10000; elapsed 245.7s
R2-I1 2000/10000; elapsed 251.4s
R2-I1 2500/10000; elapsed 257.1s
R2-I1 3000/10000; elapsed 262.8s
R2-I1 3500/10000; elapsed 268.4s
R2-I1 4000/10000; elapsed 273.9s
R2-I1 4500/10000; elapsed 279.5s
R2-I1 5000/10000; elapsed 285.2s
R2-I1 5500/10000; elapsed 290.4s
R2-I1 6000/10000; elapsed 295.8s
R2-I1 6500/10000; elapsed 300.8s
R2-I1 7000/10000; elapsed 306.1s
R2-I1 7500/10000; elapsed 311.9s
R2-I1 8000/10000; elapsed 317.0s
R2-I1 8500/10000; elapsed 322.3s
R2-I1 9000/10000; elapsed 327.7s
R2-I1 9500/10000; elapsed 333.5s
R2-I1 10000/10000; elapsed 338.8s
R3-I1 500/10000; elapsed 346.9s
R3-I1 1000/10000; elapsed 352.4s
R3-I1 1500/10000; elapsed 358.0s
R3-I1 2000/10000; elapsed 363.7s
R3-I1 2500/10000; elapsed 369.4s
R3-I1 3000/10000; elapsed 375.1s
R3-I1 3500/10000; elapsed 380.7s
R3-I1 4000/10000; elapsed 386.2s
R3-I1 4500/10000; elapsed 391.7s
R3-I1 5000/10000; elapsed 397.5s
R3-I1 5500/10000; elapsed 402.7s
R3-I1 6000/10000; elapsed 408.1s
R3-I1 6500/10000; elapsed 413.1s
R3-I1 7000/10000; elapsed 418.4s
R3-I1 7500/10000; elapsed 424.1s
R3-I1 8000/10000; elapsed 429.3s
R3-I1 8500/10000; elapsed 434.5s
R3-I1 9000/10000; elapsed 440.0s
R3-I1 9500/10000; elapsed 445.7s
R3-I1 10000/10000; elapsed 451.1s
R4-I1 500/10000; elapsed 459.4s
R4-I1 1000/10000; elapsed 464.9s
R4-I1 1500/10000; elapsed 470.5s
R4-I1 2000/10000; elapsed 476.2s
R4-I1 2500/10000; elapsed 481.9s
R4-I1 3000/10000; elapsed 487.6s
R4-I1 3500/10000; elapsed 493.3s
R4-I1 4000/10000; elapsed 498.7s
R4-I1 4500/10000; elapsed 504.3s
R4-I1 5000/10000; elapsed 510.0s
R4-I1 5500/10000; elapsed 515.3s
R4-I1 6000/10000; elapsed 520.7s
R4-I1 6500/10000; elapsed 525.7s
R4-I1 7000/10000; elapsed 531.1s
R4-I1 7500/10000; elapsed 536.8s
R4-I1 8000/10000; elapsed 542.0s
R4-I1 8500/10000; elapsed 547.3s
R4-I1 9000/10000; elapsed 552.7s
R4-I1 9500/10000; elapsed 558.5s
R4-I1 10000/10000; elapsed 563.8s
