R4-I1: 500/10000; 50.9s
R0-I1: 500/10000; 50.9s
R2-I1: 500/10000; 51.0s
R1-I1: 500/10000; 51.1s
R3-I1: 500/10000; 51.2s
R0-I1: 1000/10000; 97.9s
R4-I1: 1000/10000; 97.9s
R2-I1: 1000/10000; 98.0s
R1-I1: 1000/10000; 98.1s
R3-I1: 1000/10000; 98.3s
R0-I1: 1500/10000; 145.9s
R4-I1: 1500/10000; 145.9s
R2-I1: 1500/10000; 146.4s
R3-I1: 1500/10000; 146.4s
R1-I1: 1500/10000; 146.6s
R4-I1: 2000/10000; 194.6s
R0-I1: 2000/10000; 194.9s
R2-I1: 2000/10000; 195.3s
R3-I1: 2000/10000; 195.4s
R1-I1: 2000/10000; 195.7s
R4-I1: 2500/10000; 244.5s
R2-I1: 2500/10000; 244.6s
R0-I1: 2500/10000; 244.6s
R3-I1: 2500/10000; 244.9s
R1-I1: 2500/10000; 245.4s
R2-I1: 3000/10000; 293.3s
R4-I1: 3000/10000; 293.4s
R3-I1: 3000/10000; 293.5s
R0-I1: 3000/10000; 293.6s
R1-I1: 3000/10000; 294.1s
R2-I1: 3500/10000; 341.6s
R3-I1: 3500/10000; 342.0s
R4-I1: 3500/10000; 342.1s
R0-I1: 3500/10000; 342.4s
R1-I1: 3500/10000; 342.4s
R2-I1: 4000/10000; 388.2s
R3-I1: 4000/10000; 388.7s
R4-I1: 4000/10000; 388.8s
R1-I1: 4000/10000; 389.0s
R0-I1: 4000/10000; 389.3s
R2-I1: 4500/10000; 435.7s
R3-I1: 4500/10000; 436.3s
R1-I1: 4500/10000; 436.5s
R4-I1: 4500/10000; 436.8s
R0-I1: 4500/10000; 437.3s
R2-I1: 5000/10000; 485.1s
R3-I1: 5000/10000; 485.8s
R1-I1: 5000/10000; 486.0s
R4-I1: 5000/10000; 486.5s
R0-I1: 5000/10000; 486.9s
R2-I1: 5500/10000; 529.1s
R1-I1: 5500/10000; 530.1s
R3-I1: 5500/10000; 530.3s
R4-I1: 5500/10000; 530.6s
R0-I1: 5500/10000; 530.9s
R2-I1: 6000/10000; 575.2s
R1-I1: 6000/10000; 576.1s
R3-I1: 6000/10000; 576.4s
R4-I1: 6000/10000; 576.7s
R0-I1: 6000/10000; 577.0s
R2-I1: 6500/10000; 617.6s
R1-I1: 6500/10000; 618.6s
R3-I1: 6500/10000; 618.7s
R4-I1: 6500/10000; 618.9s
R0-I1: 6500/10000; 619.4s
R2-I1: 7000/10000; 662.9s
R1-I1: 7000/10000; 663.7s
R4-I1: 7000/10000; 663.9s
R3-I1: 7000/10000; 664.1s
R0-I1: 7000/10000; 664.9s
R2-I1: 7500/10000; 711.9s
R1-I1: 7500/10000; 713.0s
R4-I1: 7500/10000; 713.0s
R3-I1: 7500/10000; 713.3s
R0-I1: 7500/10000; 714.4s
R2-I1: 8000/10000; 755.6s
R4-I1: 8000/10000; 756.8s
R1-I1: 8000/10000; 756.9s
R3-I1: 8000/10000; 757.4s
R0-I1: 8000/10000; 758.7s
R2-I1: 8500/10000; 800.1s
R1-I1: 8500/10000; 801.6s
R4-I1: 8500/10000; 801.6s
R3-I1: 8500/10000; 802.0s
R0-I1: 8500/10000; 803.7s
R2-I1: 9000/10000; 846.0s
R1-I1: 9000/10000; 847.5s
R4-I1: 9000/10000; 847.8s
R3-I1: 9000/10000; 848.2s
R0-I1: 9000/10000; 850.0s
R2-I1: 9500/10000; 894.9s
R1-I1: 9500/10000; 896.7s
R4-I1: 9500/10000; 896.7s
R3-I1: 9500/10000; 897.4s
R0-I1: 9500/10000; 899.4s
R2-I1: 10000/10000; 940.2s
R1-I1: 10000/10000; 942.0s
R4-I1: 10000/10000; 942.2s
R3-I1: 10000/10000; 942.9s
R0-I1: 10000/10000; 945.0s
completed R0-I1
completed R1-I1
completed R2-I1
completed R3-I1
completed R4-I1
