query_id,refined,exact_evals,total_us,t_search,t_gap,t_refine,t_final_selection,gap
0,1,16,187.76599999999999,0,0,0,0,nan
1,1,16,208.089,0,0,0,0,nan
2,1,16,198.82400000000001,0,0,0,0,nan
3,1,16,233.673,0,0,0,0,nan
4,1,16,170.81299999999999,0,0,0,0,nan
5,1,16,177.54900000000001,0,0,0,0,nan
6,1,16,191.25999999999999,0,0,0,0,nan
7,1,16,176.108,0,0,0,0,nan
8,1,16,197.55199999999999,0,0,0,0,nan
9,1,16,175.08099999999999,0,0,0,0,nan
10,1,16,216.03399999999999,0,0,0,0,nan
11,1,16,215.60499999999999,0,0,0,0,nan
12,1,16,151.88999999999999,0,0,0,0,nan
13,1,16,169.983,0,0,0,0,nan
14,1,16,168.738,0,0,0,0,nan
15,1,16,161.886,0,0,0,0,nan
16,1,16,214.46000000000001,0,0,0,0,nan
17,1,16,183.637,0,0,0,0,nan
18,1,16,207.11699999999999,0,0,0,0,nan
19,1,16,190.86500000000001,0,0,0,0,nan
20,1,16,133.50899999999999,0,0,0,0,nan
21,1,16,191.602,0,0,0,0,nan
22,1,16,190.65000000000001,0,0,0,0,nan
23,1,16,190.14500000000001,0,0,0,0,nan
24,1,16,198.50399999999999,0,0,0,0,nan
25,1,16,185.054,0,0,0,0,nan
26,1,16,154.857,0,0,0,0,nan
27,1,16,203.15299999999999,0,0,0,0,nan
28,1,16,171.51499999999999,0,0,0,0,nan
29,1,16,171.55699999999999,0,0,0,0,nan
30,1,16,211.161,0,0,0,0,nan
31,1,16,204.25399999999999,0,0,0,0,nan
32,1,16,204.24100000000001,0,0,0,0,nan
33,1,16,188.18700000000001,0,0,0,0,nan
34,1,16,212.02799999999999,0,0,0,0,nan
35,1,16,151.46000000000001,0,0,0,0,nan
36,1,16,187.62899999999999,0,0,0,0,nan
37,1,16,166.51900000000001,0,0,0,0,nan
38,1,16,202.042,0,0,0,0,nan
39,1,16,184.35499999999999,0,0,0,0,nan
40,1,16,203.52699999999999,0,0,0,0,nan
41,1,16,162.42500000000001,0,0,0,0,nan
42,1,16,159.79900000000001,0,0,0,0,nan
43,1,16,213.684,0,0,0,0,nan
44,1,16,204.006,0,0,0,0,nan
45,1,16,170.804,0,0,0,0,nan
46,1,16,212.13300000000001,0,0,0,0,nan
47,1,16,138.351,0,0,0,0,nan
48,1,16,208.47,0,0,0,0,nan
49,1,16,146.38399999999999,0,0,0,0,nan
50,1,16,168.16900000000001,0,0,0,0,nan
51,1,16,162.18600000000001,0,0,0,0,nan
52,1,16,191.89099999999999,0,0,0,0,nan
53,1,16,182.416,0,0,0,0,nan
54,1,16,175.00899999999999,0,0,0,0,nan
55,1,16,186.47499999999999,0,0,0,0,nan
56,1,16,166.03200000000001,0,0,0,0,nan
57,1,16,167.053,0,0,0,0,nan
58,1,16,206.339,0,0,0,0,nan
59,1,16,189.059,0,0,0,0,nan
60,1,16,156.51400000000001,0,0,0,0,nan
61,1,16,197.41800000000001,0,0,0,0,nan
62,1,16,211.131,0,0,0,0,nan
63,1,16,194.51599999999999,0,0,0,0,nan
64,1,16,213.87200000000001,0,0,0,0,nan
65,1,16,178.75899999999999,0,0,0,0,nan
66,1,16,215.64599999999999,0,0,0,0,nan
67,1,16,196.84800000000001,0,0,0,0,nan
68,1,16,188.41200000000001,0,0,0,0,nan
69,1,16,193.446,0,0,0,0,nan
70,1,16,187.928,0,0,0,0,nan
71,1,16,190.68100000000001,0,0,0,0,nan
72,1,16,192.14099999999999,0,0,0,0,nan
73,1,16,179.548,0,0,0,0,nan
74,1,16,159.107,0,0,0,0,nan
75,1,16,141.642,0,0,0,0,nan
76,1,16,192.42599999999999,0,0,0,0,nan
77,1,16,147.99600000000001,0,0,0,0,nan
78,1,16,202.30600000000001,0,0,0,0,nan
79,1,16,183.61699999999999,0,0,0,0,nan
80,1,16,229.93899999999999,0,0,0,0,nan
81,1,16,231.17099999999999,0,0,0,0,nan
82,1,16,184.768,0,0,0,0,nan
83,1,16,114.31999999999999,0,0,0,0,nan
84,1,16,155.21199999999999,0,0,0,0,nan
85,1,16,216.834,0,0,0,0,nan
86,1,16,194.79499999999999,0,0,0,0,nan
87,1,16,188.28999999999999,0,0,0,0,nan
88,1,16,224.18000000000001,0,0,0,0,nan
89,1,16,218.53700000000001,0,0,0,0,nan
90,1,16,159.59,0,0,0,0,nan
91,1,16,186.625,0,0,0,0,nan
92,1,16,152.62299999999999,0,0,0,0,nan
93,1,16,143.25800000000001,0,0,0,0,nan
94,1,16,177.74700000000001,0,0,0,0,nan
95,1,16,193.959,0,0,0,0,nan
96,1,16,200.43299999999999,0,0,0,0,nan
97,1,16,215.714,0,0,0,0,nan
98,1,16,181.672,0,0,0,0,nan
99,1,16,214.11799999999999,0,0,0,0,nan
100,1,16,222.43100000000001,0,0,0,0,nan
101,1,16,203.33799999999999,0,0,0,0,nan
102,1,16,203.637,0,0,0,0,nan
103,1,16,213.43600000000001,0,0,0,0,nan
104,1,16,166.989,0,0,0,0,nan
105,1,16,196.589,0,0,0,0,nan
106,1,16,172.732,0,0,0,0,nan
107,1,16,197.88,0,0,0,0,nan
108,1,16,192.84399999999999,0,0,0,0,nan
109,1,16,138.97,0,0,0,0,nan
110,1,16,174.82900000000001,0,0,0,0,nan
111,1,16,170.32499999999999,0,0,0,0,nan
112,1,16,196.958,0,0,0,0,nan
113,1,16,149.55099999999999,0,0,0,0,nan
114,1,16,192.95400000000001,0,0,0,0,nan
115,1,16,213.79300000000001,0,0,0,0,nan
116,1,16,208.59399999999999,0,0,0,0,nan
117,1,16,162.828,0,0,0,0,nan
118,1,16,147.22900000000001,0,0,0,0,nan
119,1,16,152.65799999999999,0,0,0,0,nan
120,1,16,202.68199999999999,0,0,0,0,nan
121,1,16,211.92099999999999,0,0,0,0,nan
122,1,16,177.41300000000001,0,0,0,0,nan
123,1,16,182.74600000000001,0,0,0,0,nan
124,1,16,188.13,0,0,0,0,nan
125,1,16,177.80799999999999,0,0,0,0,nan
126,1,16,179.25999999999999,0,0,0,0,nan
127,1,16,193.79400000000001,0,0,0,0,nan
128,1,16,191.85599999999999,0,0,0,0,nan
129,1,16,208.19,0,0,0,0,nan
130,1,16,187.477,0,0,0,0,nan
131,1,16,194.70099999999999,0,0,0,0,nan
132,1,16,179.06899999999999,0,0,0,0,nan
133,1,16,205.75399999999999,0,0,0,0,nan
134,1,16,207.38900000000001,0,0,0,0,nan
135,1,16,213.428,0,0,0,0,nan
136,1,16,214.381,0,0,0,0,nan
137,1,16,143.84899999999999,0,0,0,0,nan
138,1,16,193.23099999999999,0,0,0,0,nan
139,1,16,217.17500000000001,0,0,0,0,nan
140,1,16,182.81100000000001,0,0,0,0,nan
141,1,16,169.98400000000001,0,0,0,0,nan
142,1,16,213.066,0,0,0,0,nan
143,1,16,184.42699999999999,0,0,0,0,nan
144,1,16,187.75999999999999,0,0,0,0,nan
145,1,16,153.90100000000001,0,0,0,0,nan
146,1,16,205.797,0,0,0,0,nan
147,1,16,186.5,0,0,0,0,nan
148,1,16,192.66900000000001,0,0,0,0,nan
149,1,16,188.79599999999999,0,0,0,0,nan
150,1,16,184.60599999999999,0,0,0,0,nan
151,1,16,218.77600000000001,0,0,0,0,nan
152,1,16,165.28200000000001,0,0,0,0,nan
153,1,16,189.13,0,0,0,0,nan
154,1,16,188.684,0,0,0,0,nan
155,1,16,218.59100000000001,0,0,0,0,nan
156,1,16,211.57499999999999,0,0,0,0,nan
157,1,16,140.76499999999999,0,0,0,0,nan
158,1,16,177.72499999999999,0,0,0,0,nan
159,1,16,175.285,0,0,0,0,nan
160,1,16,175.874,0,0,0,0,nan
161,1,16,195.637,0,0,0,0,nan
162,1,16,223.37100000000001,0,0,0,0,nan
163,1,16,208.96700000000001,0,0,0,0,nan
164,1,16,211.667,0,0,0,0,nan
165,1,16,177.191,0,0,0,0,nan
166,1,16,203.20400000000001,0,0,0,0,nan
167,1,16,183.85900000000001,0,0,0,0,nan
168,1,16,196.624,0,0,0,0,nan
169,1,16,200.70699999999999,0,0,0,0,nan
170,1,16,202.685,0,0,0,0,nan
171,1,16,183.94800000000001,0,0,0,0,nan
172,1,16,227.96100000000001,0,0,0,0,nan
173,1,16,175.17400000000001,0,0,0,0,nan
174,1,16,202.809,0,0,0,0,nan
175,1,16,193.095,0,0,0,0,nan
176,1,16,203.649,0,0,0,0,nan
177,1,16,174.53299999999999,0,0,0,0,nan
