query_id,refined,exact_evals,total_us,t_search,t_gap,t_refine,t_final_selection,gap
0,0,0,159.167,0,0,0,0,nan
1,0,0,175.625,0,0,0,0,nan
2,0,0,168.66800000000001,0,0,0,0,nan
3,0,0,158.828,0,0,0,0,nan
4,0,0,173.61199999999999,0,0,0,0,nan
5,0,0,156.88800000000001,0,0,0,0,nan
6,0,0,176.66200000000001,0,0,0,0,nan
7,0,0,152.50999999999999,0,0,0,0,nan
8,0,0,172.749,0,0,0,0,nan
9,0,0,154.77099999999999,0,0,0,0,nan
10,0,0,187.03999999999999,0,0,0,0,nan
11,0,0,197.41900000000001,0,0,0,0,nan
12,0,0,124.31399999999999,0,0,0,0,nan
13,0,0,142.76400000000001,0,0,0,0,nan
14,0,0,144.40700000000001,0,0,0,0,nan
15,0,0,140.69200000000001,0,0,0,0,nan
16,0,0,178.61699999999999,0,0,0,0,nan
17,0,0,156.32300000000001,0,0,0,0,nan
18,0,0,174,0,0,0,0,nan
19,0,0,160.61600000000001,0,0,0,0,nan
20,0,0,116.581,0,0,0,0,nan
21,0,0,163.15899999999999,0,0,0,0,nan
22,0,0,160.363,0,0,0,0,nan
23,0,0,163.006,0,0,0,0,nan
24,0,0,173.172,0,0,0,0,nan
25,0,0,157.88300000000001,0,0,0,0,nan
26,0,0,134.505,0,0,0,0,nan
27,0,0,166.976,0,0,0,0,nan
28,0,0,147.98400000000001,0,0,0,0,nan
29,0,0,147.34399999999999,0,0,0,0,nan
30,0,0,181.76300000000001,0,0,0,0,nan
31,0,0,173.66200000000001,0,0,0,0,nan
32,0,0,166.35599999999999,0,0,0,0,nan
33,0,0,156.50899999999999,0,0,0,0,nan
34,0,0,178.04400000000001,0,0,0,0,nan
35,0,0,129.446,0,0,0,0,nan
36,0,0,164.58799999999999,0,0,0,0,nan
37,0,0,143.50999999999999,0,0,0,0,nan
38,0,0,169.83600000000001,0,0,0,0,nan
39,0,0,155.42400000000001,0,0,0,0,nan
40,0,0,171.22499999999999,0,0,0,0,nan
41,0,0,138.42699999999999,0,0,0,0,nan
42,0,0,139.20699999999999,0,0,0,0,nan
43,0,0,179.06800000000001,0,0,0,0,nan
44,0,0,173.089,0,0,0,0,nan
45,0,0,145.88800000000001,0,0,0,0,nan
46,0,0,175.21799999999999,0,0,0,0,nan
47,0,0,119.444,0,0,0,0,nan
48,0,0,179.81200000000001,0,0,0,0,nan
49,0,0,125.456,0,0,0,0,nan
50,0,0,161.65100000000001,0,0,0,0,nan
51,0,0,143.886,0,0,0,0,nan
52,0,0,170.03200000000001,0,0,0,0,nan
53,0,0,172.488,0,0,0,0,nan
54,0,0,153.37799999999999,0,0,0,0,nan
55,0,0,166.78,0,0,0,0,nan
56,0,0,150.02799999999999,0,0,0,0,nan
57,0,0,158.834,0,0,0,0,nan
58,0,0,175.77699999999999,0,0,0,0,nan
59,0,0,159.928,0,0,0,0,nan
60,0,0,127.285,0,0,0,0,nan
