query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,169.48099999999999,0,0,0,0,0,967,1,16,nan
1,186.98400000000001,0,0,0,0,0,1274,1,16,nan
2,179.83099999999999,0,0,0,0,0,1223,1,16,nan
3,173.655,0,0,0,0,0,1146,1,16,nan
4,153.91900000000001,0,0,0,0,0,837,1,16,nan
5,185.91499999999999,0,0,0,0,0,959,1,16,nan
6,182.595,0,0,0,0,0,1010,1,16,nan
7,175.08500000000001,0,0,0,0,0,921,1,16,nan
8,198.65199999999999,0,0,0,0,0,1194,1,16,nan
9,183.51300000000001,0,0,0,0,0,931,1,16,nan
10,201.459,0,0,0,0,0,1350,1,16,nan
11,194.91399999999999,0,0,0,0,0,1283,1,16,nan
12,137.52500000000001,0,0,0,0,0,593,1,16,nan
13,156.68700000000001,0,0,0,0,0,787,1,16,nan
14,156.26499999999999,0,0,0,0,0,811,1,16,nan
15,152.91200000000001,0,0,0,0,0,783,1,16,nan
16,203.95699999999999,0,0,0,0,0,1241,1,16,nan
17,163.822,0,0,0,0,0,991,1,16,nan
18,187.26499999999999,0,0,0,0,0,1321,1,16,nan
19,198.749,0,0,0,0,0,1105,1,16,nan
20,123.91800000000001,0,0,0,0,0,484,1,16,nan
21,175.14099999999999,0,0,0,0,0,1164,1,16,nan
22,169.58799999999999,0,0,0,0,0,1064,1,16,nan
23,171.833,0,0,0,0,0,1094,1,16,nan
24,180.11199999999999,0,0,0,0,0,1178,1,16,nan
25,168.74199999999999,0,0,0,0,0,1126,1,16,nan
26,144.09399999999999,0,0,0,0,0,694,1,16,nan
27,201.06,0,0,0,0,0,1103,1,16,nan
28,160.584,0,0,0,0,0,897,1,16,nan
29,158.554,0,0,0,0,0,846,1,16,nan
30,199.24600000000001,0,0,0,0,0,1250,1,16,nan
31,180.839,0,0,0,0,0,1174,1,16,nan
32,182.47,0,0,0,0,0,1171,1,16,nan
33,164.44499999999999,0,0,0,0,0,1053,1,16,nan
34,190.292,0,0,0,0,0,1306,1,16,nan
35,137.989,0,0,0,0,0,804,1,16,nan
36,167.81,0,0,0,0,0,1065,1,16,nan
37,151.88,0,0,0,0,0,826,1,16,nan
38,180.28,0,0,0,0,0,1090,1,16,nan
39,163.197,0,0,0,0,0,951,1,16,nan
40,185.79900000000001,0,0,0,0,0,1249,1,16,nan
41,151,0,0,0,0,0,742,1,16,nan
42,143.90799999999999,0,0,0,0,0,858,1,16,nan
43,186.50899999999999,0,0,0,0,0,1233,1,16,nan
44,185.131,0,0,0,0,0,1141,1,16,nan
45,156.80500000000001,0,0,0,0,0,819,1,16,nan
46,177.749,0,0,0,0,0,1200,1,16,nan
47,125.896,0,0,0,0,0,535,1,16,nan
48,186.58199999999999,0,0,0,0,0,1326,1,16,nan
49,130.22300000000001,0,0,0,0,0,599,1,16,nan
50,155.51300000000001,0,0,0,0,0,847,1,16,nan
51,148.923,0,0,0,0,0,792,1,16,nan
52,173.97900000000001,0,0,0,0,0,1120,1,16,nan
53,169.369,0,0,0,0,0,1089,1,16,nan
54,155.51599999999999,0,0,0,0,0,897,1,16,nan
55,171.51400000000001,0,0,0,0,0,1036,1,16,nan
56,150.94499999999999,0,0,0,0,0,850,1,16,nan
57,154.59299999999999,0,0,0,0,0,815,1,16,nan
58,187.19,0,0,0,0,0,1217,1,16,nan
59,173.34800000000001,0,0,0,0,0,1115,1,16,nan
60,136.68100000000001,0,0,0,0,0,645,1,16,nan
61,179.94800000000001,0,0,0,0,0,1093,1,16,nan
62,192.85400000000001,0,0,0,0,0,1317,1,16,nan
63,180.089,0,0,0,0,0,1138,1,16,nan
64,191.02000000000001,0,0,0,0,0,1283,1,16,nan
65,164.09299999999999,0,0,0,0,0,793,1,16,nan
66,184.13800000000001,0,0,0,0,0,1329,1,16,nan
67,173.108,0,0,0,0,0,1106,1,16,nan
68,172.48400000000001,0,0,0,0,0,1085,1,16,nan
69,178.34200000000001,0,0,0,0,0,1133,1,16,nan
70,168.35499999999999,0,0,0,0,0,1064,1,16,nan
71,163.739,0,0,0,0,0,953,1,16,nan
72,173.12700000000001,0,0,0,0,0,1124,1,16,nan
73,158.274,0,0,0,0,0,939,1,16,nan
74,163.28800000000001,0,0,0,0,0,690,1,16,nan
75,137.49700000000001,0,0,0,0,0,575,1,16,nan
76,178.59200000000001,0,0,0,0,0,1063,1,16,nan
