query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,166.27500000000001,165.792,0,0.23499999999999999,0.014999999999999999,0.23300000000000001,967,0,0,1209.1328125
1,188.511,185.58500000000001,0,0.26200000000000001,2.2050000000000001,0.45900000000000002,1274,1,16,485.10546875
2,176.11500000000001,175.626,0,0.27000000000000002,0.014999999999999999,0.20399999999999999,1223,0,0,1625.546875
3,168.655,168.23599999999999,0,0.218,0.014999999999999999,0.186,1146,0,0,2034.41015625
4,153.02099999999999,152.58199999999999,0,0.23599999999999999,0.014999999999999999,0.188,837,0,0,5292.5546875
5,160.99100000000001,160.59100000000001,0,0.23400000000000001,0.016,0.14999999999999999,959,0,0,1351.4921875
6,166.488,166.06800000000001,0,0.22500000000000001,0.016,0.17899999999999999,1010,0,0,1794.96484375
7,158.524,158.017,0,0.27600000000000002,0.014999999999999999,0.216,921,0,0,1555.91015625
8,193.72399999999999,193.12899999999999,0,0.34799999999999998,0.017000000000000001,0.23000000000000001,1194,0,0,1221.1171875
9,160.97999999999999,160.55699999999999,0,0.24299999999999999,0.016,0.16400000000000001,931,0,0,965.47265625
10,198.85599999999999,198.41900000000001,0,0.23999999999999999,0.016,0.18099999999999999,1350,0,0,3679.03515625
11,191.453,191.01599999999999,0,0.217,0.014999999999999999,0.20499999999999999,1283,0,0,840.97265625
12,134.751,134.31700000000001,0,0.26200000000000001,0.016,0.156,593,0,0,763.99609375
13,157.66800000000001,157.15100000000001,0,0.27600000000000002,0.017000000000000001,0.224,787,0,0,1363.015625
14,194.166,193.72,0,0.21299999999999999,0.014999999999999999,0.218,811,0,0,868.56640625
15,144.75,144.31999999999999,0,0.22600000000000001,0.014999999999999999,0.189,783,0,0,2187.341796875
16,190.648,187.72999999999999,0,0.23100000000000001,2.2989999999999999,0.38800000000000001,1241,1,16,598.39453125
17,160.03800000000001,159.54900000000001,0,0.251,0.014999999999999999,0.223,991,0,0,2266.25
18,187.02000000000001,184.495,0,0.224,1.929,0.372,1321,1,16,595.91015625
19,172.64099999999999,169.97900000000001,0,0.26600000000000001,1.9810000000000001,0.41499999999999998,1105,1,16,692.08203125
20,119.66500000000001,119.23,0,0.20100000000000001,0.014,0.22,484,0,0,1815.267578125
21,172.792,169.81899999999999,0,0.217,2.3839999999999999,0.372,1164,1,16,188.484375
22,167.77600000000001,167.33699999999999,0,0.221,0.014999999999999999,0.20300000000000001,1064,0,0,894.34765625
