query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,168.57400000000001,0,0,0,0,0,967,1,16,nan
1,183.77199999999999,0,0,0,0,0,1274,1,16,nan
2,178.56899999999999,0,0,0,0,0,1223,1,16,nan
3,171.58500000000001,0,0,0,0,0,1146,1,16,nan
4,151.96799999999999,0,0,0,0,0,837,1,16,nan
5,164.31100000000001,0,0,0,0,0,959,1,16,nan
6,168.74299999999999,0,0,0,0,0,1010,1,16,nan
7,156.29499999999999,0,0,0,0,0,921,1,16,nan
8,176.19800000000001,0,0,0,0,0,1194,1,16,nan
9,158.97499999999999,0,0,0,0,0,931,1,16,nan
10,191.21899999999999,0,0,0,0,0,1350,1,16,nan
11,191.20500000000001,0,0,0,0,0,1283,1,16,nan
12,133.089,0,0,0,0,0,593,1,16,nan
13,151.78399999999999,0,0,0,0,0,787,1,16,nan
14,151.453,0,0,0,0,0,811,1,16,nan
15,146.86000000000001,0,0,0,0,0,783,1,16,nan
16,189.661,0,0,0,0,0,1241,1,16,nan
17,165.83699999999999,0,0,0,0,0,991,1,16,nan
18,187.042,0,0,0,0,0,1321,1,16,nan
19,169.62100000000001,0,0,0,0,0,1105,1,16,nan
20,122.866,0,0,0,0,0,484,1,16,nan
21,200.24799999999999,0,0,0,0,0,1164,1,16,nan
22,169.78999999999999,0,0,0,0,0,1064,1,16,nan
23,173.41800000000001,0,0,0,0,0,1094,1,16,nan
24,176.53200000000001,0,0,0,0,0,1178,1,16,nan
25,168.83699999999999,0,0,0,0,0,1126,1,16,nan
26,142.74299999999999,0,0,0,0,0,694,1,16,nan
27,180.58099999999999,0,0,0,0,0,1103,1,16,nan
28,154.482,0,0,0,0,0,897,1,16,nan
29,158.06899999999999,0,0,0,0,0,846,1,16,nan
30,188.64400000000001,0,0,0,0,0,1250,1,16,nan
31,180.755,0,0,0,0,0,1174,1,16,nan
32,177.821,0,0,0,0,0,1171,1,16,nan
33,164.738,0,0,0,0,0,1053,1,16,nan
34,190.08199999999999,0,0,0,0,0,1306,1,16,nan
35,139.548,0,0,0,0,0,804,1,16,nan
36,165.953,0,0,0,0,0,1065,1,16,nan
37,152.04900000000001,0,0,0,0,0,826,1,16,nan
38,180.43899999999999,0,0,0,0,0,1090,1,16,nan
39,161.58500000000001,0,0,0,0,0,951,1,16,nan
40,184.54499999999999,0,0,0,0,0,1249,1,16,nan
41,151.95400000000001,0,0,0,0,0,742,1,16,nan
42,146.298,0,0,0,0,0,858,1,16,nan
43,186.67699999999999,0,0,0,0,0,1233,1,16,nan
44,183.44999999999999,0,0,0,0,0,1141,1,16,nan
45,155.81800000000001,0,0,0,0,0,819,1,16,nan
46,177.05699999999999,0,0,0,0,0,1200,1,16,nan
47,151.821,0,0,0,0,0,535,1,16,nan
48,203.024,0,0,0,0,0,1326,1,16,nan
49,145.636,0,0,0,0,0,599,1,16,nan
50,168.99199999999999,0,0,0,0,0,847,1,16,nan
51,157.03100000000001,0,0,0,0,0,792,1,16,nan
52,170.541,0,0,0,0,0,1120,1,16,nan
53,170.52099999999999,0,0,0,0,0,1089,1,16,nan
54,156.14500000000001,0,0,0,0,0,897,1,16,nan
55,170.75899999999999,0,0,0,0,0,1036,1,16,nan
56,149.59700000000001,0,0,0,0,0,850,1,16,nan
57,152.65199999999999,0,0,0,0,0,815,1,16,nan
58,185.93000000000001,0,0,0,0,0,1217,1,16,nan
59,176.661,0,0,0,0,0,1115,1,16,nan
60,136.18199999999999,0,0,0,0,0,645,1,16,nan
61,178.41399999999999,0,0,0,0,0,1093,1,16,nan
62,191.52600000000001,0,0,0,0,0,1317,1,16,nan
63,179.63399999999999,0,0,0,0,0,1138,1,16,nan
64,195.423,0,0,0,0,0,1283,1,16,nan
65,164.54400000000001,0,0,0,0,0,793,1,16,nan
66,184.16999999999999,0,0,0,0,0,1329,1,16,nan
67,173.45599999999999,0,0,0,0,0,1106,1,16,nan
68,170.786,0,0,0,0,0,1085,1,16,nan
69,177.28700000000001,0,0,0,0,0,1133,1,16,nan
70,169.38,0,0,0,0,0,1064,1,16,nan
71,164.02600000000001,0,0,0,0,0,953,1,16,nan
72,172.935,0,0,0,0,0,1124,1,16,nan
73,159.523,0,0,0,0,0,939,1,16,nan
74,143.00200000000001,0,0,0,0,0,690,1,16,nan
75,130.97300000000001,0,0,0,0,0,575,1,16,nan
76,173.184,0,0,0,0,0,1063,1,16,nan
77,136.078,0,0,0,0,0,645,1,16,nan
78,184.24199999999999,0,0,0,0,0,1230,1,16,nan
79,167.624,0,0,0,0,0,1117,1,16,nan
80,186.59299999999999,0,0,0,0,0,1262,1,16,nan
81,178.161,0,0,0,0,0,1201,1,16,nan
82,159.03200000000001,0,0,0,0,0,889,1,16,nan
83,104.901,0,0,0,0,0,248,1,16,nan
84,126.77,0,0,0,0,0,557,1,16,nan
