query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,165.64099999999999,165.203,0,0.245,0.014999999999999999,0.17799999999999999,967,0,0,nan
1,181.99100000000001,181.559,0,0.23899999999999999,0.028000000000000001,0.16500000000000001,1274,0,0,nan
2,180.36699999999999,179.76499999999999,0,0.307,0.029000000000000001,0.26600000000000001,1223,0,0,nan
3,165.74700000000001,165.322,0,0.24199999999999999,0.014999999999999999,0.16800000000000001,1146,0,0,nan
4,151.03200000000001,150.55600000000001,0,0.245,0.014999999999999999,0.216,837,0,0,nan
5,156.96199999999999,156.56100000000001,0,0.21099999999999999,0.014,0.17599999999999999,959,0,0,nan
6,166.26599999999999,165.858,0,0.219,0.014999999999999999,0.17399999999999999,1010,0,0,nan
7,156.59299999999999,156.16300000000001,0,0.20599999999999999,0.016,0.20799999999999999,921,0,0,nan
8,178.607,178.036,0,0.30199999999999999,0.014999999999999999,0.254,1194,0,0,nan
9,155.90199999999999,155.46100000000001,0,0.20699999999999999,0.014,0.22,931,0,0,nan
10,191.39500000000001,190.988,0,0.22900000000000001,0.014999999999999999,0.16300000000000001,1350,0,0,nan
11,185.41300000000001,184.96899999999999,0,0.217,0.014999999999999999,0.21199999999999999,1283,0,0,nan
12,131.61500000000001,131.19999999999999,0,0.24099999999999999,0.014,0.16,593,0,0,nan
13,151.16900000000001,150.75200000000001,0,0.21099999999999999,0.028000000000000001,0.17799999999999999,787,0,0,nan
14,152.83799999999999,152.322,0,0.26100000000000001,0.02,0.23499999999999999,811,0,0,nan
15,142.72399999999999,142.273,0,0.215,0.014999999999999999,0.221,783,0,0,nan
16,186.405,185.958,0,0.22700000000000001,0.014,0.20599999999999999,1241,0,0,nan
17,163.57300000000001,163.142,0,0.22900000000000001,0.014999999999999999,0.187,991,0,0,nan
18,181.792,181.358,0,0.23000000000000001,0.014999999999999999,0.189,1321,0,0,nan
19,169.273,168.851,0,0.224,0.014,0.184,1105,0,0,nan
20,124.408,123.886,0,0.25900000000000001,0.025000000000000001,0.23799999999999999,484,0,0,nan
21,169.55699999999999,169.08600000000001,0,0.22700000000000001,0.014999999999999999,0.22900000000000001,1164,0,0,nan
22,164.822,164.399,0,0.22800000000000001,0.014999999999999999,0.17999999999999999,1064,0,0,nan
23,168.477,168.06299999999999,0,0.23499999999999999,0.014999999999999999,0.16400000000000001,1094,0,0,nan
24,176.61099999999999,176.232,0,0.20399999999999999,0.014,0.161,1178,0,0,nan
25,165.84299999999999,165.447,0,0.219,0.014,0.16300000000000001,1126,0,0,nan
26,142.08600000000001,141.55500000000001,0,0.27800000000000002,0.024,0.22900000000000001,694,0,0,nan
27,176.755,176.261,0,0.27900000000000003,0.014999999999999999,0.20000000000000001,1103,0,0,nan
28,152.959,152.50399999999999,0,0.23599999999999999,0.023,0.19600000000000001,897,0,0,nan
29,152.45099999999999,151.96299999999999,0,0.26200000000000001,0.014,0.21199999999999999,846,0,0,nan
30,185.72300000000001,185.30600000000001,0,0.23899999999999999,0.014,0.16400000000000001,1250,0,0,nan
31,179.83799999999999,179.393,0,0.24399999999999999,0.014999999999999999,0.186,1174,0,0,nan
32,180.20500000000001,179.69,0,0.254,0.024,0.23699999999999999,1171,0,0,nan
33,161.43600000000001,161.02000000000001,0,0.21099999999999999,0.016,0.189,1053,0,0,nan
34,186.41200000000001,185.928,0,0.25,0.021000000000000001,0.21299999999999999,1306,0,0,nan
35,137.54599999999999,137.08699999999999,0,0.24399999999999999,0.014999999999999999,0.20000000000000001,804,0,0,nan
36,167.471,167.03299999999999,0,0.23000000000000001,0.014,0.19400000000000001,1065,0,0,nan
37,178.43199999999999,177.989,0,0.23400000000000001,0.016,0.193,826,0,0,nan
38,174.81200000000001,174.23400000000001,0,0.27800000000000002,0.021999999999999999,0.27800000000000002,1090,0,0,nan
39,160.02799999999999,159.607,0,0.215,0.014999999999999999,0.191,951,0,0,nan
40,182.077,181.62299999999999,0,0.24399999999999999,0.014,0.19600000000000001,1249,0,0,nan
41,144.26599999999999,143.78899999999999,0,0.23499999999999999,0.014999999999999999,0.22700000000000001,742,0,0,nan
42,144.232,143.77500000000001,0,0.23999999999999999,0.016,0.20100000000000001,858,0,0,nan
