query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,180.208,0,0,0,0,0,967,1,16,nan
1,201.73500000000001,0,0,0,0,0,1274,1,16,nan
2,195.589,0,0,0,0,0,1223,1,16,nan
3,190.25800000000001,0,0,0,0,0,1146,1,16,nan
4,167.709,0,0,0,0,0,837,1,16,nan
5,173.667,0,0,0,0,0,959,1,16,nan
6,185.36199999999999,0,0,0,0,0,1010,1,16,nan
7,171.852,0,0,0,0,0,921,1,16,nan
8,196.63300000000001,0,0,0,0,0,1194,1,16,nan
9,173.58799999999999,0,0,0,0,0,931,1,16,nan
10,214.91900000000001,0,0,0,0,0,1350,1,16,nan
11,206.214,0,0,0,0,0,1283,1,16,nan
12,145.32300000000001,0,0,0,0,0,593,1,16,nan
13,167.03899999999999,0,0,0,0,0,787,1,16,nan
14,167.66300000000001,0,0,0,0,0,811,1,16,nan
15,159.12100000000001,0,0,0,0,0,783,1,16,nan
16,209.63499999999999,0,0,0,0,0,1241,1,16,nan
17,180.73599999999999,0,0,0,0,0,991,1,16,nan
18,201.30699999999999,0,0,0,0,0,1321,1,16,nan
19,188.68899999999999,0,0,0,0,0,1105,1,16,nan
20,129.727,0,0,0,0,0,484,1,16,nan
21,188.78800000000001,0,0,0,0,0,1164,1,16,nan
22,181.62200000000001,0,0,0,0,0,1064,1,16,nan
23,187.10400000000001,0,0,0,0,0,1094,1,16,nan
24,196.96000000000001,0,0,0,0,0,1178,1,16,nan
25,184.50299999999999,0,0,0,0,0,1126,1,16,nan
26,152.45599999999999,0,0,0,0,0,694,1,16,nan
27,196.04900000000001,0,0,0,0,0,1103,1,16,nan
28,169.03200000000001,0,0,0,0,0,897,1,16,nan
29,169.36099999999999,0,0,0,0,0,846,1,16,nan
30,212.11500000000001,0,0,0,0,0,1250,1,16,nan
31,199.90000000000001,0,0,0,0,0,1174,1,16,nan
32,196.23699999999999,0,0,0,0,0,1171,1,16,nan
33,179.315,0,0,0,0,0,1053,1,16,nan
34,209.22800000000001,0,0,0,0,0,1306,1,16,nan
35,149.25999999999999,0,0,0,0,0,804,1,16,nan
36,188.471,0,0,0,0,0,1065,1,16,nan
37,162.52600000000001,0,0,0,0,0,826,1,16,nan
38,195.31999999999999,0,0,0,0,0,1090,1,16,nan
