query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,184.24000000000001,0,0,0,0,0,967,0,0,nan
1,197.06,0,0,0,0,0,1274,0,0,nan
2,195.40000000000001,0,0,0,0,0,1223,0,0,nan
3,213.20599999999999,0,0,0,0,0,1146,0,0,nan
4,168.149,0,0,0,0,0,837,0,0,nan
5,176.351,0,0,0,0,0,959,0,0,nan
6,183.18600000000001,0,0,0,0,0,1010,0,0,nan
7,170.726,0,0,0,0,0,921,0,0,nan
8,191.22300000000001,0,0,0,0,0,1194,0,0,nan
9,169.66499999999999,0,0,0,0,0,931,0,0,nan
10,210.81999999999999,0,0,0,0,0,1350,0,0,nan
11,205.298,0,0,0,0,0,1283,0,0,nan
12,140.24100000000001,0,0,0,0,0,593,0,0,nan
13,162.32499999999999,0,0,0,0,0,787,0,0,nan
14,162.774,0,0,0,0,0,811,0,0,nan
15,156.459,0,0,0,0,0,783,0,0,nan
16,208.81700000000001,0,0,0,0,0,1241,0,0,nan
17,178.71299999999999,0,0,0,0,0,991,0,0,nan
18,201.041,0,0,0,0,0,1321,0,0,nan
19,185.93600000000001,0,0,0,0,0,1105,0,0,nan
20,126.934,0,0,0,0,0,484,0,0,nan
21,185.154,0,0,0,0,0,1164,0,0,nan
22,181.26300000000001,0,0,0,0,0,1064,0,0,nan
23,186.84,0,0,0,0,0,1094,0,0,nan
24,193.434,0,0,0,0,0,1178,0,0,nan
25,179.245,0,0,0,0,0,1126,0,0,nan
26,149.21799999999999,0,0,0,0,0,694,0,0,nan
27,197.01300000000001,0,0,0,0,0,1103,0,0,nan
28,167.75999999999999,0,0,0,0,0,897,0,0,nan
29,168.18199999999999,0,0,0,0,0,846,0,0,nan
30,208.53999999999999,0,0,0,0,0,1250,0,0,nan
31,196.779,0,0,0,0,0,1174,0,0,nan
32,195.773,0,0,0,0,0,1171,0,0,nan
33,180.25200000000001,0,0,0,0,0,1053,0,0,nan
34,203.922,0,0,0,0,0,1306,0,0,nan
35,145.249,0,0,0,0,0,804,0,0,nan
36,183.57400000000001,0,0,0,0,0,1065,0,0,nan
37,160.489,0,0,0,0,0,826,0,0,nan
38,194.565,0,0,0,0,0,1090,0,0,nan
39,176.684,0,0,0,0,0,951,0,0,nan
40,198.102,0,0,0,0,0,1249,0,0,nan
41,158.733,0,0,0,0,0,742,0,0,nan
42,157.023,0,0,0,0,0,858,0,0,nan
43,205.05600000000001,0,0,0,0,0,1233,0,0,nan
44,196.56800000000001,0,0,0,0,0,1141,0,0,nan
45,163.12299999999999,0,0,0,0,0,819,0,0,nan
46,189.999,0,0,0,0,0,1200,0,0,nan
47,136.46199999999999,0,0,0,0,0,535,0,0,nan
48,202.24799999999999,0,0,0,0,0,1326,0,0,nan
49,137.172,0,0,0,0,0,599,0,0,nan
50,166.58799999999999,0,0,0,0,0,847,0,0,nan
51,157.09100000000001,0,0,0,0,0,792,0,0,nan
52,186.28299999999999,0,0,0,0,0,1120,0,0,nan
53,179.208,0,0,0,0,0,1089,0,0,nan
54,167.68600000000001,0,0,0,0,0,897,0,0,nan
55,183.94800000000001,0,0,0,0,0,1036,0,0,nan
56,161.80099999999999,0,0,0,0,0,850,0,0,nan
57,160.696,0,0,0,0,0,815,0,0,nan
58,203.25700000000001,0,0,0,0,0,1217,0,0,nan
59,181.59299999999999,0,0,0,0,0,1115,0,0,nan
60,145.078,0,0,0,0,0,645,0,0,nan
61,195.44499999999999,0,0,0,0,0,1093,0,0,nan
62,212.22399999999999,0,0,0,0,0,1317,0,0,nan
63,191.86199999999999,0,0,0,0,0,1138,0,0,nan
64,208.36799999999999,0,0,0,0,0,1283,0,0,nan
65,172.88300000000001,0,0,0,0,0,793,0,0,nan
66,203.11000000000001,0,0,0,0,0,1329,0,0,nan
67,185.196,0,0,0,0,0,1106,0,0,nan
68,184.32499999999999,0,0,0,0,0,1085,0,0,nan
69,187.137,0,0,0,0,0,1133,0,0,nan
70,182.39599999999999,0,0,0,0,0,1064,0,0,nan
71,177.535,0,0,0,0,0,953,0,0,nan
72,191.214,0,0,0,0,0,1124,0,0,nan
73,167.637,0,0,0,0,0,939,0,0,nan
74,149.59700000000001,0,0,0,0,0,690,0,0,nan
75,137.066,0,0,0,0,0,575,0,0,nan
76,186.245,0,0,0,0,0,1063,0,0,nan
77,142.80099999999999,0,0,0,0,0,645,0,0,nan
78,202.94800000000001,0,0,0,0,0,1230,0,0,nan
79,179.53299999999999,0,0,0,0,0,1117,0,0,nan
80,202.947,0,0,0,0,0,1262,0,0,nan
81,193.655,0,0,0,0,0,1201,0,0,nan
82,165.42099999999999,0,0,0,0,0,889,0,0,nan
83,105.51000000000001,0,0,0,0,0,248,0,0,nan
84,137.77000000000001,0,0,0,0,0,557,0,0,nan
85,205.93799999999999,0,0,0,0,0,1198,0,0,nan
86,180.279,0,0,0,0,0,1044,0,0,nan
87,170.54400000000001,0,0,0,0,0,554,0,0,nan
88,195.34899999999999,0,0,0,0,0,1134,0,0,nan
89,200.572,0,0,0,0,0,1235,0,0,nan
90,157.19900000000001,0,0,0,0,0,707,0,0,nan
91,183.90000000000001,0,0,0,0,0,1045,0,0,nan
92,144.173,0,0,0,0,0,568,0,0,nan
93,141.239,0,0,0,0,0,653,0,0,nan
94,173.32400000000001,0,0,0,0,0,927,0,0,nan
95,191.48699999999999,0,0,0,0,0,1135,0,0,nan
96,192.804,0,0,0,0,0,1136,0,0,nan
97,207.29400000000001,0,0,0,0,0,1296,0,0,nan
98,177.00700000000001,0,0,0,0,0,1076,0,0,nan
99,207.64099999999999,0,0,0,0,0,1330,0,0,nan
100,215.19800000000001,0,0,0,0,0,1245,0,0,nan
101,220.43100000000001,0,0,0,0,0,1158,0,0,nan
102,197.381,0,0,0,0,0,1147,0,0,nan
103,192.58099999999999,0,0,0,0,0,973,0,0,nan
104,173.03299999999999,0,0,0,0,0,920,0,0,nan
105,206.12200000000001,0,0,0,0,0,1178,0,0,nan
106,178.70599999999999,0,0,0,0,0,891,0,0,nan
107,201.964,0,0,0,0,0,1082,0,0,nan
108,196.40100000000001,0,0,0,0,0,1115,0,0,nan
109,161.239,0,0,0,0,0,524,0,0,nan
110,173.39500000000001,0,0,0,0,0,999,0,0,nan
111,169.40299999999999,0,0,0,0,0,824,0,0,nan
112,194.64400000000001,0,0,0,0,0,1204,0,0,nan
113,140.60499999999999,0,0,0,0,0,679,0,0,nan
114,187.81899999999999,0,0,0,0,0,1129,0,0,nan
115,205.71899999999999,0,0,0,0,0,1193,0,0,nan
116,209.07499999999999,0,0,0,0,0,1292,0,0,nan
