query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
0,1,1,1,1,1,0,0,0,0,653,637,1,1,0
1,1,1,1,1,1,0,0,0,0,765,769,1,1,0
2,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,749,759,0.90000000000000002,0.90000000000000002,0
3,1,1,1,1,1,0,0,0,0,500,480,1,1,0
4,1,1,1,1,1,0,0,0,0,793,748,1,1,0
5,1,1,1,1,1,0,0,0,0,724,737,1,1,0
6,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,523,535,0.90000000000000002,0.90000000000000002,0
7,0,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,-0.90000000000000002,-0.90000000000000002,0,630,1207,0,0.90000000000000002,0
8,1,1,1,1,1,0,0,0,0,645,645,1,1,0
9,1,1,1,1,1,0,0,0,0,677,683,1,1,0
10,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,699,745,1,1,0
11,0.90000000000000002,0.90000000000000002,1,1,0.90000000000000002,0,0,-0.099999999999999978,0.099999999999999978,508,786,0.90000000000000002,1,0
12,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,569,533,0.40000000000000002,0.40000000000000002,0
13,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,660,660,0.90000000000000002,0.90000000000000002,0
14,1,1,1,1,1,0,0,0,0,497,497,1,1,0
15,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,878,861,0.80000000000000004,0.80000000000000004,0
16,1,1,1,1,1,0,0,0,0,589,589,1,1,0
17,1,1,1,1,1,0,0,0,0,443,469,1,1,0
18,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,623,603,0.90000000000000002,0.90000000000000002,0
19,1,1,1,1,1,0,0,0,0,531,635,1,1,0
20,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,727,718,0.59999999999999998,0.59999999999999998,0
21,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,627,816,0.90000000000000002,0.90000000000000002,0
22,1,1,1,1,1,0,0,0,0,1028,954,1,1,0
23,1,1,1,1,1,0,0,0,0,909,673,1,1,0
24,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,617,636,0.69999999999999996,0.69999999999999996,0
25,1,1,1,1,1,0,0,0,0,577,577,1,1,0
26,1,1,1,1,1,0,0,0,0,659,639,1,1,0
27,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,572,576,0.90000000000000002,0.90000000000000002,0
