ef,query_id,oracle_rank,candidate_id,pq_rank,gt_relevant,candidate_count
32,0,1,314604,1,1,655
32,0,2,759320,2,1,655
32,0,3,315245,3,1,655
32,0,4,778901,5,1,655
32,0,5,390212,6,1,655
32,0,6,841845,4,1,655
32,0,7,481170,8,1,655
32,0,8,496075,7,1,655
32,0,9,889409,11,1,655
32,0,10,727402,12,1,655
32,1,1,400732,2,1,731
32,1,2,805629,1,1,731
32,1,3,768002,4,1,731
32,1,4,327787,3,1,731
32,1,5,293885,5,1,731
32,1,6,874137,6,1,731
32,1,7,623593,7,1,731
32,1,8,902835,8,1,731
32,1,9,215921,10,1,731
32,1,10,138726,9,1,731
32,2,1,314475,1,1,704
32,2,2,538238,2,1,704
32,2,3,51212,4,1,704
32,2,4,168035,3,1,704
32,2,5,656130,5,1,704
32,2,6,738950,6,1,704
32,2,7,943447,12,1,704
32,2,8,583361,8,1,704
32,2,9,770886,9,1,704
32,2,10,564296,10,1,704
32,3,1,543506,1,1,495
32,3,2,219345,2,1,495
32,3,3,588274,3,1,495
32,3,4,529174,7,1,495
32,3,5,39876,4,1,495
32,3,6,97356,5,1,495
32,3,7,845065,6,1,495
32,3,8,111717,9,1,495
32,3,9,772441,8,1,495
32,3,10,252726,11,1,495
32,4,1,712789,1,1,744
32,4,2,170412,2,1,744
32,4,3,99876,3,1,744
32,4,4,782889,4,1,744
32,4,5,751402,5,1,744
32,4,6,217419,6,1,744
32,4,7,802666,7,1,744
32,4,8,561319,9,1,744
32,4,9,541070,8,1,744
32,4,10,724231,10,1,744
32,5,1,101971,1,1,583
32,5,2,847709,2,1,583
32,5,3,969632,4,1,583
32,5,4,402447,3,1,583
32,5,5,131110,5,1,583
32,5,6,317713,6,1,583
32,5,7,343768,7,1,583
32,5,8,149474,8,1,583
32,5,9,900858,9,1,583
32,5,10,190882,10,1,583
32,6,1,413595,1,1,582
32,6,2,398643,2,1,582
32,6,3,253226,5,1,582
32,6,4,905348,4,1,582
32,6,5,21653,6,1,582
32,6,6,200081,3,1,582
32,6,7,224148,9,1,582
32,6,8,426985,8,1,582
32,6,9,313503,14,1,582
32,6,10,145052,7,1,582
32,7,1,866701,1,0,644
32,7,2,178564,5,0,644
32,7,3,272052,3,0,644
32,7,4,606015,2,0,644
32,7,5,607104,6,0,644
32,7,6,88814,9,0,644
32,7,7,672159,13,0,644
32,7,8,526880,7,0,644
32,7,9,950166,17,0,644
32,7,10,127704,4,0,644
32,8,1,762047,1,1,663
32,8,2,466470,2,1,663
32,8,3,513405,3,1,663
32,8,4,608772,5,1,663
32,8,5,13055,4,1,663
32,8,6,366470,6,1,663
32,8,7,287983,7,1,663
32,8,8,988754,9,1,663
32,8,9,566253,15,1,663
32,8,10,345020,8,1,663
32,9,1,308318,1,1,652
32,9,2,667766,2,1,652
32,9,3,678112,3,1,652
32,9,4,11875,4,1,652
32,9,5,311641,5,1,652
32,9,6,139727,6,1,652
32,9,7,416458,9,1,652
32,9,8,147948,8,1,652
32,9,9,907103,7,1,652
32,9,10,606390,11,1,652
32,10,1,335044,1,1,607
32,10,2,948526,2,1,607
32,10,3,966564,3,1,607
32,10,4,307903,4,1,607
32,10,5,30389,5,1,607
32,10,6,650811,6,1,607
32,10,7,382374,9,1,607
32,10,8,929904,10,1,607
32,10,9,98129,7,1,607
32,10,10,805818,8,1,607
32,11,1,419125,1,1,526
32,11,2,188276,2,1,526
32,11,3,500745,4,1,526
32,11,4,305198,3,1,526
32,11,5,575756,5,1,526
32,11,6,232307,8,1,526
32,11,7,455346,7,1,526
