query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
0,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,653,655,1,1,0
1,1,1,1,1,1,0,0,0,0,765,731,1,1,0
2,0.90000000000000002,0.90000000000000002,1,1,0.90000000000000002,0,0,-0.099999999999999978,0.099999999999999978,749,704,0.90000000000000002,1,0
3,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,500,495,1,1,0
4,1,1,1,1,1,0,0,0,0,793,744,1,1,0
5,1,1,1,1,1,0,0,0,0,724,583,1,1,0
6,0.90000000000000002,0.90000000000000002,1,1,0.90000000000000002,0,0,-0.099999999999999978,0.099999999999999978,523,582,0.90000000000000002,1,0
7,0,0,0,0,0,0,0,0,0,630,644,0,0,0
8,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,645,663,1,1,0
9,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,677,652,1,1,0
10,1,1,1,1,1,0,0,0,0,699,607,1,1,0
11,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,508,526,0.90000000000000002,0.90000000000000002,0
12,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,569,574,0.40000000000000002,0.40000000000000002,0
13,0.90000000000000002,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.90000000000000002,0,0.099999999999999978,0.099999999999999978,0,660,598,0.90000000000000002,0.80000000000000004,0
14,1,0.69999999999999996,1,1,1,0,0.30000000000000004,0,0.30000000000000004,497,491,1,1,0
15,0.80000000000000004,0.69999999999999996,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0.10000000000000009,0,0.10000000000000009,878,928,0.80000000000000004,0.80000000000000004,0
16,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,589,571,1,1,0
17,1,0.69999999999999996,1,1,1,0,0.30000000000000004,0,0.30000000000000004,443,461,1,1,0
18,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,623,607,0.90000000000000002,0.90000000000000002,0
19,1,1,1,1,1,0,0,0,0,531,522,1,1,0
20,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,727,773,0.59999999999999998,0.59999999999999998,0
21,0.90000000000000002,1,1,1,0.90000000000000002,0,-0.099999999999999978,-0.099999999999999978,0,627,820,0.90000000000000002,1,0
