sample,query_id,base_id,other_id,exact,pq,absolute_relative_error,reconstruction_l2,order_inversion,adc_reference_error
0,3622,773629,499065,1.8408137559890747,1.7930080890655518,0.025969855487346649,0.28482204675674438,0,0
1,7561,826745,578939,1.9647848606109619,1.8951259851455688,0.035453692078590393,0.30321767926216125,0,1.3113021850585938e-06
2,8055,222565,515793,1.8860132694244385,1.7647264003753662,0.064308598637580872,0.30001172423362732,0,1.1920928955078125e-07
3,2530,855885,936484,1.9864834547042847,1.8716062307357788,0.057829439640045166,0.29961031675338745,0,1.1920928955078125e-07
4,3284,341098,670198,1.8650392293930054,1.8408744335174561,0.012956722639501095,0.29436466097831726,0,4.76837158203125e-07
5,7492,915631,390264,1.6862077713012695,1.6146742105484009,0.042422745376825333,0.29471862316131592,0,1.1920928955078125e-07
6,7842,539482,333401,1.7151596546173096,1.6615995168685913,0.031227493658661842,0.30267426371574402,0,5.9604644775390625e-07
7,6765,148918,129048,1.8939222097396851,1.7987704277038574,0.050240598618984222,0.29957002401351929,0,4.76837158203125e-07
8,9739,109450,499006,1.6587955951690674,1.5602821111679077,0.05938856303691864,0.28773626685142517,0,5.9604644775390625e-07
9,1645,171033,697608,1.924965500831604,1.7930898666381836,0.068508051335811615,0.29968807101249695,0,2.384185791015625e-07
10,3498,698638,984339,1.5651295185089111,1.4856922626495361,0.050754427909851074,0.29149127006530762,0,5.9604644775390625e-07
11,1909,846001,508549,1.9200130701065063,1.7988808155059814,0.063089288771152496,0.29721853137016296,0,8.3446502685546875e-07
12,2378,594739,58557,1.7692329883575439,1.6601662635803223,0.06164633110165596,0.29603803157806396,0,4.76837158203125e-07
13,7493,847103,25390,1.5635738372802734,1.5021755695343018,0.039267905056476593,0.29151725769042969,0,0
14,4983,80386,469806,1.8700566291809082,1.7963156700134277,0.039432473480701447,0.28656741976737976,0,4.76837158203125e-07
15,5611,745816,182297,1.8219239711761475,1.7063907384872437,0.063412763178348541,0.30859413743019104,0,7.152557373046875e-07
16,5436,980506,401706,2.0532491207122803,1.9333547353744507,0.058392517268657684,0.3007628321647644,0,2.384185791015625e-07
17,9340,788456,525603,1.898017406463623,1.8056638240814209,0.048657920211553574,0.29909166693687439,0,3.5762786865234375e-07
18,5984,463711,939328,1.7369234561920166,1.6507015228271484,0.049640607088804245,0.29262223839759827,0,2.384185791015625e-07
19,2532,626000,188029,1.7901122570037842,1.7079329490661621,0.045907348394393921,0.29109945893287659,0,4.76837158203125e-07
20,5624,376074,456019,1.9147151708602905,1.8319878578186035,0.043206065893173218,0.29977929592132568,0,2.384185791015625e-07
21,8593,23948,536252,1.9407477378845215,1.865609884262085,0.038715928792953491,0.29475483298301697,1,1.1920928955078125e-07
22,6090,534737,355758,1.7359044551849365,1.7008507251739502,0.020193351432681084,0.28001847863197327,0,2.384185791015625e-07
23,1543,63914,592433,2.009366512298584,1.8978879451751709,0.055479459464550018,0.2946142852306366,0,7.152557373046875e-07
24,5872,379343,87845,2.020068883895874,1.9247512817382812,0.047185324132442474,0.29338443279266357,0,2.384185791015625e-07
25,1656,565249,434528,1.9355119466781616,1.8511390686035156,0.043592020869255066,0.29901936650276184,0,1.430511474609375e-06
26,6974,734754,14555,1.8857941627502441,1.8242108821868896,0.032656416296958923,0.29414340853691101,1,4.76837158203125e-07
27,8489,218840,491883,1.8535555601119995,1.7448683977127075,0.058637119829654694,0.30500268936157227,0,1.1920928955078125e-07
28,5421,945301,409692,1.7166826725006104,1.616106390953064,0.058587577193975449,0.29851007461547852,0,3.5762786865234375e-07
29,9082,957703,98411,1.8433685302734375,1.7109324932098389,0.071844577789306641,0.30052182078361511,1,2.384185791015625e-07
30,9416,277121,399223,1.9931265115737915,1.939794659614563,0.026757886633276939,0.29546859860420227,0,0
31,4387,855878,96845,1.9431078433990479,1.8089809417724609,0.069026999175548553,0.2990124523639679,1,2.384185791015625e-07
32,158,188468,468586,2.0292444229125977,1.9292953014373779,0.04925435408949852,0.31040865182876587,0,5.9604644775390625e-07
33,7215,968113,894651,1.8790853023529053,1.7774381637573242,0.054093945771455765,0.30060526728630066,0,9.5367431640625e-07
34,8559,775387,61728,1.9433648586273193,1.86102294921875,0.042370792478322983,0.28348234295845032,0,3.5762786865234375e-07
35,2272,98864,729152,1.9035177230834961,1.7791950702667236,0.065312057733535767,0.29590499401092529,0,9.5367431640625e-07
36,9782,188922,723944,1.8789379596710205,1.7955304384231567,0.044390778988599777,0.29911431670188904,0,8.3446502685546875e-07
37,6730,762197,706347,1.8412430286407471,1.7446105480194092,0.052482198923826218,0.29530102014541626,0,3.5762786865234375e-07
38,2735,501023,834494,1.8890213966369629,1.8309423923492432,0.030745550990104675,0.2912752628326416,0,3.5762786865234375e-07
39,7201,713099,425845,1.9891890287399292,1.8668876886367798,0.06148301437497139,0.30455383658409119,0,1.1920928955078125e-07
40,8120,91793,322124,1.9652011394500732,1.8872498273849487,0.039665818214416504,0.29702553153038025,0,5.9604644775390625e-07
41,6424,72312,848744,1.9472558498382568,1.8611119985580444,0.044238589704036713,0.29182776808738708,0,1.1920928955078125e-07
42,4152,300943,128053,1.809840202331543,1.7108500003814697,0.054695546627044678,0.29055163264274597,0,4.76837158203125e-07
43,1474,588347,689463,1.7512742280960083,1.6825695037841797,0.039231278002262115,0.29264041781425476,0,0
44,7886,542085,737364,1.9342844486236572,1.8341587781906128,0.051763676106929779,0.29769253730773926,0,1.1920928955078125e-07
45,152,911414,31917,1.7034149169921875,1.6138236522674561,0.052595093846321106,0.29904094338417053,0,7.152557373046875e-07
46,2550,792982,177085,1.6187433004379272,1.554233193397522,0.039851967245340347,0.29134678840637207,0,1.0728836059570312e-06
47,9069,342594,578689,1.8860068321228027,1.7995973825454712,0.045816086232662201,0.29523208737373352,0,3.5762786865234375e-07
48,6832,454881,161122,1.8233146667480469,1.7566887140274048,0.036541115492582321,0.29320803284645081,0,1.0728836059570312e-06
49,6264,937877,67168,1.8004436492919922,1.7418341636657715,0.032552801072597504,0.28684717416763306,0,7.152557373046875e-07
50,3624,895975,763636,1.9809293746948242,1.8628216981887817,0.059622354805469513,0.28972697257995605,0,8.3446502685546875e-07
51,3837,756836,825097,1.7484947443008423,1.671446681022644,0.044065367430448532,0.29656475782394409,0,1.1920928955078125e-07
52,2536,346278,301168,2.0065464973449707,1.8513110876083374,0.077364474534988403,0.31169179081916809,0,0
53,4500,311376,407221,1.9638597965240479,1.8689565658569336,0.048324849456548691,0.29600253701210022,0,1.1920928955078125e-07
54,7276,828925,130383,2.0506982803344727,1.9397706985473633,0.054092589765787125,0.28835722804069519,0,2.384185791015625e-07
55,1404,467346,332250,1.7460312843322754,1.6640233993530273,0.046968165785074234,0.28776153922080994,0,9.5367431640625e-07
56,5310,75675,809702,1.7974040508270264,1.7389558553695679,0.032518118619918823,0.29353198409080505,0,8.3446502685546875e-07
57,4717,668515,813356,1.968134880065918,1.911165714263916,0.028945762664079666,0.29066228866577148,0,1.1920928955078125e-07
58,7624,289918,939199,1.8780351877212524,1.79731285572052,0.042982332408428192,0.298707515001297,0,3.5762786865234375e-07
59,5352,492021,908479,1.9157495498657227,1.8293324708938599,0.045108754187822342,0.29356968402862549,0,5.9604644775390625e-07
60,1450,99064,374915,1.6920098066329956,1.5773210525512695,0.067782558500766754,0.29559773206710815,0,4.76837158203125e-07
61,5017,825520,926166,1.8453085422515869,1.7468212842941284,0.053371701389551163,0.30870413780212402,0,3.5762786865234375e-07
62,5099,114403,17689,1.8532847166061401,1.7681777477264404,0.045922230929136276,0.29969146847724915,0,3.5762786865234375e-07
63,9903,796512,370456,1.7752611637115479,1.6733906269073486,0.057383406907320023,0.29159095883369446,0,0
64,6382,72648,145240,1.7954130172729492,1.7515091896057129,0.024453330785036087,0.28481453657150269,0,0
65,1558,620168,99081,1.8943674564361572,1.8184221982955933,0.040090035647153854,0.28426659107208252,0,1.1920928955078125e-07
66,4660,246634,576185,1.77591872215271,1.7166483402252197,0.033374488353729248,0.29009351134300232,0,5.9604644775390625e-07
67,1721,769029,936215,1.6499983072280884,1.613542914390564,0.022094199433922768,0.2915097177028656,0,1.1920928955078125e-07
68,2847,432559,6029,1.8409783840179443,1.7524750232696533,0.048074088990688324,0.29776746034622192,1,2.384185791015625e-07
69,7443,726346,210496,1.7500126361846924,1.67497718334198,0.042877092957496643,0.29134899377822876,0,7.152557373046875e-07
70,6042,427617,678390,1.9093163013458252,1.8339414596557617,0.039477400481700897,0.29205933213233948,0,7.152557373046875e-07
71,5814,760172,390862,1.7081401348114014,1.6195032596588135,0.051890868693590164,0.29722410440444946,0,2.384185791015625e-07
72,6406,198093,646569,1.9122459888458252,1.8086789846420288,0.054159875959157944,0.2980533242225647,0,1.1920928955078125e-07
73,2564,893296,910176,1.656693696975708,1.5787906646728516,0.047023195773363113,0.28988814353942871,0,0
74,8238,124916,984765,1.7526909112930298,1.7060602903366089,0.026605159044265747,0.30446833372116089,0,2.384185791015625e-07
75,2814,371939,171499,1.9243501424789429,1.8152045011520386,0.056718181818723679,0.29756733775138855,0,0
76,3410,405357,431089,1.69394850730896,1.6316359043121338,0.036785416305065155,0.2779519259929657,0,4.76837158203125e-07
77,3128,841858,790613,1.843546986579895,1.7212866544723511,0.06631799042224884,0.29086613655090332,0,3.5762786865234375e-07
78,3983,389510,63697,1.9360510110855103,1.8359489440917969,0.051704250276088715,0.2974693775177002,0,4.76837158203125e-07
79,342,38149,53004,1.8133809566497803,1.7319111824035645,0.044927004724740982,0.28795218467712402,0,9.5367431640625e-07
80,495,68505,431021,1.7243480682373047,1.6551611423492432,0.040123526006937027,0.29641857743263245,0,1.3113021850585938e-06
81,6037,219066,138304,1.7262192964553833,1.6864254474639893,0.023052603006362915,0.29096117615699768,0,1.1920928955078125e-06
